SMILES,Texpi
C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,310
C1CNP(=O)(OC1)N(CCCl)CCCl,305
C1CNP(=O)(OC1)N(CCCl)CCCl,305
CC(=CCCC(=CCO)C)C,305
CC(=CCCC(=CCO)C)C,305
CC(=O)C=CC1=CC=CC=C1,305
CC(=O)C=CC1=CC=CC=C1,305
CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O,299
CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,299
CC(=O)C1=CC=CC=C1,305
CC(=O)C1=CC=CC=C1,305
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,299
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,299
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,310
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,298
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,298
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,308
CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,305
CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,305
CC(=O)O,310
CC(=O)O,310
CC(=O)O,310
CC(=O)O,310
CC(=O)O,310
CC(C(C)O)O,303
CC(C)(C)C1=CC=CC=C1O,305
CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,310
CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,310
CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,305
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,310
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,310
CC(C)NCC(COC1=CC=CC=C1CC=C)O,310
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,310
