logkpl,Compound,SMILES,Texpi,ALogp2,nAcid,nAromBond,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,SC-4,FMF,nHBAcc,nHBDon,HybRatio,JPLogP,Kier2,Kier3,khs.sLi,khs.ssBe,khs.ssBH,khs.sssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.dssC,khs.aasC,khs.aaaC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nAtomLC,nAtomP,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MLogP,topoShape,nRotB,LipinskiFailures,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,XLogP,Zagreb
-4.6,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.62,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.82,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.72,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.46,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-3.15,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.68,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.44,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-3.97,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.57,Glycerol,C(C(CO)O)O,310,1.9827456099999992,0,0,-0.0475455735317769,-0.1426367205953309,6.938893903907228e-18,0.0475455735317769,8.323407106622838,11.856201937805208,16.000160002645305,-0.4241254790217761,0.2484493981432908,3.806217189169568,6.100283661346131,0,0,0,0,0,2,1,0.0,0.0,3,3,1.0,-1.208119651460284,3.2,3.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.9085602964160698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,1.0,2,0,0,0,0,0,0,0,0,0,0,0,60.69,3.321928094887362,1.779308466033326,7.109354215272228,7.109354215272228,0.0,31.0,-1.88,20.0
-3.01,Glycerol,C(C(CO)O)O,310,1.9827456099999992,0,0,-0.0475455735317769,-0.1426367205953309,6.938893903907228e-18,0.0475455735317769,8.323407106622838,11.856201937805208,16.000160002645305,-0.4241254790217761,0.2484493981432908,3.806217189169568,6.100283661346131,0,0,0,0,0,2,1,0.0,0.0,3,3,1.0,-1.208119651460284,3.2,3.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.9085602964160698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,1.0,2,0,0,0,0,0,0,0,0,0,0,0,60.69,3.321928094887362,1.779308466033326,7.109354215272228,7.109354215272228,0.0,31.0,-1.88,20.0
-5.03,Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310,18.58041025,0,0,-0.3434830179202155,-0.5932394271918144,0.3636561679971098,-0.2183099937709873,31.519159390950406,11.817230117036376,16.01090129610552,-0.4204599181749144,0.3718393340765144,4.328027251272971,9.733286415903208,0,0,0,0,0,4,8,0.1020620726159657,0.2666666666666666,11,8,1.0,-4.407800113089786,7.486111111111111,3.3833141099577086,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.520020955762976,9.519267454754823,3.109405292261152,0.0,4.637040374121499,5.766702225491435,1.1905507889761495,0.0,0.0,0.0,0.0,0.0,0.0,1.5700000000000005,1.0,5,2,0,2,0,0,0,1,1,0,0,0,189.53,5.584962500721157,1.969510716735953,29.32045813260619,29.32045813260619,0.0,1110.0,-3.2769999999999984,120.0
-5.28,Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310,18.58041025,0,0,-0.3434830179202155,-0.5932394271918144,0.3636561679971098,-0.2183099937709873,31.519159390950406,11.817230117036376,16.01090129610552,-0.4204599181749144,0.3718393340765144,4.328027251272971,9.733286415903208,0,0,0,0,0,4,8,0.1020620726159657,0.2666666666666666,11,8,1.0,-4.407800113089786,7.486111111111111,3.3833141099577086,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.520020955762976,9.519267454754823,3.109405292261152,0.0,4.637040374121499,5.766702225491435,1.1905507889761495,0.0,0.0,0.0,0.0,0.0,0.0,1.5700000000000005,1.0,5,2,0,2,0,0,0,1,1,0,0,0,189.53,5.584962500721157,1.969510716735953,29.32045813260619,29.32045813260619,0.0,1110.0,-3.2769999999999984,120.0
