reference,DOI,DOI_URL,Selected_Measurements,Unique_Compounds,Condition_Signatures,Experimental_Min,Experimental_Max,Experimental_Range,Selected_Row_Share_Percent,Reference_Year
"Wilkinson, 2002",10.1007/s00420-002-0367-8,https://doi.org/10.1007/s00420-002-0367-8,2,2,1,-6.39700000,-5.26800000,1.12900000,0.59347181,2002
"Goodman, 1988",10.1111/1523-1747.ep12475655,https://doi.org/10.1111/1523-1747.ep12475655,2,1,2,-6.68400000,-6.01800000,0.66600000,0.59347181,1988
"Kushla, 1991",10.1016/0378-5173(91)90387-4,https://doi.org/10.1016/0378-5173(91)90387-4,2,1,2,-5.70700000,-5.53000000,0.17700000,0.59347181,1991
"Pershing, 1993",10.1023/A:1018974131236,https://doi.org/10.1023/A:1018974131236,2,1,2,-6.55600000,-5.55600000,1.00000000,0.59347181,1993
"Blank, 1985",10.1111/1523-1747.ep12277325,https://doi.org/10.1111/1523-1747.ep12277325,1,1,1,-4.51100000,-4.51100000,0.00000000,0.29673591,1985
"Cnubben, 2002",10.1006/rtph.2001.1530,https://doi.org/10.1006/rtph.2001.1530,1,1,1,-5.29400000,-5.29400000,0.00000000,0.29673591,2002
"Dias, 1999",10.1016/S0378-5173(99)00067-8,https://doi.org/10.1016/S0378-5173(99)00067-8,1,1,1,-7.14500000,-7.14500000,0.00000000,0.29673591,1999
"Dick, 1997",10.1177/096032719701601104,https://doi.org/10.1177/096032719701601104,1,1,1,-6.69100000,-6.69100000,0.00000000,0.29673591,1997
"Dolezal, 1993",10.1023/A:1018914806761,https://doi.org/10.1023/A:1018914806761,1,1,1,-7.12500000,-7.12500000,0.00000000,0.29673591,1993
"Knutson, 1993",10.1016/0168-3659(93)90170-A,https://doi.org/10.1016/0168-3659(93)90170-A,1,1,1,-5.77000000,-5.77000000,0.00000000,0.29673591,1993
"Krishnan, 2011",10.1002/bip.21520,https://doi.org/10.1002/bip.21520,1,1,1,-7.71100000,-7.71100000,0.00000000,0.29673591,2011
"Legoabe, 2010",10.1211/jpp.62.06.0012,https://doi.org/10.1211/jpp.62.06.0012,1,1,1,-6.88900000,-6.88900000,0.00000000,0.29673591,2010
"Lundh, 1997",10.1007/s004200050223,https://doi.org/10.1007/s004200050223,1,1,1,-6.07900000,-6.07900000,0.00000000,0.29673591,1997
"Roy, 1995",10.1002/jps.2600841010 ,https://doi.org/10.1002/jps.2600841010,1,1,1,-5.79900000,-5.79900000,0.00000000,0.29673591,1995
"Schmook, 2001",10.1016/S0378-5173(00)00665-7,https://doi.org/10.1016/S0378-5173(00)00665-7,1,1,1,-6.21600000,-6.21600000,0.00000000,0.29673591,2001
"Trabaris, 2012",10.1002/jat.1657,https://doi.org/10.1002/jat.1657,1,1,1,-5.96500000,-5.96500000,0.00000000,0.29673591,2012
"Valjakka-Koskela, 2000",10.1016/S0928-0987(00)00120-2,https://doi.org/10.1016/S0928-0987(00)00120-2,1,1,1,-6.48400000,-6.48400000,0.00000000,0.29673591,2000
"Volpato, 1998",10.1016/S0168-3659(97)00152-1,https://doi.org/10.1016/S0168-3659(97)00152-1,1,1,1,-7.07900000,-7.07900000,0.00000000,0.29673591,1998
