Compound_Name,Canonical_SMILES,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Low_Source_Data_Row,High_Source_Data_Row,Low_Reference,High_Reference,Low_DOI,High_DOI,Differing_Condition_Count,Differing_Conditions,Low_skin source type,High_skin source type,Low_skin source site,High_skin source site,Low_used layer,High_used layer,Low_skin preparation,High_skin preparation,Low_storage temperature (°C),High_storage temperature (°C),Low_storage duration (days),High_storage duration (days),Low_neat,High_neat,Low_donor/skin surface temperature (°C),High_donor/skin surface temperature (°C),Low_donor pH,High_donor pH,Low_donor type,High_donor type,Low_acceptor temperature (°C),High_acceptor temperature (°C),Low_acceptor pH,High_acceptor pH,Low_acceptor type,High_acceptor type,Low_cell type,High_cell type
Chloroxylenol,Cc1ccc(Cl)c(O)c1C,2,-4.78500000,-4.65100000,0.13400000,1.36144468,0.01760447,219,362,"Roberts, 1977","Zhang, 2009",10.1111/j.2042-7158.1977.tb11434.x ,10.1007/s11095-009-9912-4,10,skin source type | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,epidermis,epidermis,exposure to ammonia fumes,heat separation,unknown,-20,unknown,90,0,0,25,32,unknown,7.4,unknown,PBS,25,32,unknown,unknown,unknown,PBS with ethanol,Pyrex cell,Franz cell
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,3,-5.91200000,-5.79700000,0.11500000,1.30316678,0.00000000,542,541,"Wilkinson, 2006","Wilkinson, 2006",10.1007/s00420-005-0056-5,10.1007/s00420-005-0056-5,1,donor type,Mammaplasty,Mammaplasty,breast,breast,"epidermis, dermis","epidermis, dermis",unknown,unknown,unknown,unknown,unknown,unknown,0,0,32,32,unknown,unknown,10 % Ethanol in water,60 % Ethanol in water,36,36,7.4,7.4,"0.9% NaCl, 0.01% sodium azide, 3% BSA","0.9% NaCl, 0.01% sodium azide, 3% BSA",unknown,unknown
Flufenamic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,4,-6.20100000,-6.09400000,0.10700000,1.27938130,0.00000000,435,436,"Henning, 2008","Henning, 2008",10.1159/000112958,10.1159/000112958,2,used layer | skin preparation,Abdominoplasty,Abdominoplasty,abdomen,abdomen,stratum corneum,dermis,trypsinisation,heat separation,-26,-26,180,180,0,0,32,32,7.4,7.4,Sorensen buffer,Sorensen buffer,32,32,7.4,7.4,PBS,PBS,Franz cell,Franz cell
Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,3,-7.90700000,-7.81200000,0.09500000,1.24451461,0.00000000,316,317,"Sznitowska, 1993","Sznitowska, 1993",10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,donor pH,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",dermatomed 500um,dermatomed 500um,-20,-20,unknown,unknown,0,0,unknown,unknown,5,7.3,NaCl solution,NaCl solution,37,37,7.3,7.3,NaCl solution,NaCl solution,Glass diffusion cell,Glass diffusion cell
Thymol,Cc1ccc(C(C)C)c(O)c1,3,-4.86000000,-4.77000000,0.09000000,1.23026877,0.03152493,78,367,"Chantasart, 2010","Zhang, 2009",10.1007/s11095-010-0181-z,10.1007/s11095-009-9912-4,7,storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Abdominoplasty,Abdominoplasty,abdomen,abdomen,epidermis,epidermis,heat separation,heat separation,-20,-20,unknown,90,0,0,unknown,32,unknown,7.4,unknown,PBS,37,32,unknown,unknown,unknown,PBS with ethanol,Glass diffusion cell,Franz cell
1-Methoxy-2-Propanol,COCC(C)O,2,-6.45900000,-6.39700000,0.06200000,1.15345326,0.01384772,492,341,"Dugard, 1984","Wilkinson, 2002",10.1289/ehp.8457193,10.1007/s00420-002-0367-8,11,skin source type | skin source site | used layer | skin preparation | storage temperature (°C) | neat | donor/skin surface temperature (°C) | donor pH | acceptor temperature (°C) | acceptor pH | acceptor type,Cadaver,Mammaplasty,abdomen,breast,epidermis,"epidermis, dermis",heat separation,dermatomed 330um,unknown,-70,unknown,unknown,1,0,30,unknown,unknown,7.4,unknown,unknown,30,32,unknown,7.4,Water,"Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin",Glass diffusion cell,Glass diffusion cell
Carvacrol,Cc1ccc(C(C)C)cc1O,2,-4.84200000,-4.81000000,0.03200000,1.07646521,0.00000000,77,360,"Chantasart, 2010","Zhang, 2009",10.1007/s11095-010-0181-z,10.1007/s11095-009-9912-4,7,storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Abdominoplasty,Abdominoplasty,abdomen,abdomen,epidermis,epidermis,heat separation,heat separation,-20,-20,unknown,90,0,0,unknown,32,unknown,7.4,unknown,PBS,37,32,unknown,unknown,unknown,PBS with ethanol,Glass diffusion cell,Franz cell
Phenol,Oc1ccccc1,2,-5.61400000,-5.58600000,0.02800000,1.06659612,0.01350490,221,112,"Roberts, 1977","du Plessis, 2002",10.1111/j.2042-7158.1977.tb11434.x ,10.1016/S0928-0987(02)00085-4,9,skin source type | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,epidermis,epidermis,exposure to ammonia fumes,heat separation,unknown,-17,unknown,unknown,0,0,25,37,unknown,unknown,unknown,Water,25,37,unknown,7.4,unknown,PBS,Pyrex cell,Franz cell
Diethyl ether,CCOCC,2,-5.35200000,-5.32500000,0.02700000,1.06414302,0.01801703,46,250,"Blank, 1967","Scheuplein, 1967",10.1038/jid.1967.184,10.1038/jid.1967.11,6,skin source type | skin source site | skin preparation | donor/skin surface temperature (°C) | acceptor temperature (°C) | cell type,Cadaver,unknown,abdomen,unknown,epidermis,epidermis,heat separation,unknown,unknown,unknown,unknown,unknown,0,0,unknown,30,unknown,unknown,unknown,unknown,unknown,30,unknown,unknown,unknown,unknown,Glass diffusion cell,unknown
1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,2,-4.82700000,-4.81000000,0.01700000,1.03992017,0.00000000,74,430,"Chantasart, 2010","Chantasart, 2010",10.1007/s11095-010-0181-z,10.1007/s11095-010-0181-z,2,used layer | skin preparation,Abdominoplasty,Abdominoplasty,abdomen,abdomen,epidermis,epidermis without stratum corneum,heat separation,tape-stripped,-20,-20,unknown,unknown,0,0,unknown,unknown,unknown,unknown,unknown,unknown,37,37,unknown,unknown,unknown,unknown,Glass diffusion cell,Glass diffusion cell
Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2,-6.03800000,-6.02500000,0.01300000,1.03038612,0.00000000,15,16,"Anderson, 1988","Anderson, 1988",10.1023/a:1015989929342,10.1023/a:1015989929342,1,used layer,Abdominoplasty or cadaver,Abdominoplasty or cadaver,unknown,unknown,"epidermis, dermis",stratum corneum,dry heat separation,dry heat separation,4,4,8.5,8.5,0,0,37,37,4,4,Succinate solution,Succinate solution,37,37,4,4,Succinate solution,Succinate solution,Flow through cell,Flow through cell
Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,2,-6.32600000,-6.32600000,0.00000000,1.00000000,0.00000000,4,4,"Anderson, 1988","Anderson, 1988",10.1023/a:1015989929342,10.1023/a:1015989929342,0,,Abdominoplasty or cadaver,Abdominoplasty or cadaver,unknown,unknown,stratum corneum,stratum corneum,dry heat separation,dry heat separation,4,4,8.5,8.5,0,0,37,37,4,4,Succinate solution,Succinate solution,37,37,4,4,Succinate solution,Succinate solution,Flow through cell,Flow through cell
"2,3-Butanediol",CC(O)C(C)O,2,-7.85700000,-7.85700000,0.00000000,1.00000000,0.04073233,42,42,"Blank, 1967","Blank, 1967",10.1038/jid.1967.184,10.1038/jid.1967.184,0,,Cadaver,Cadaver,abdomen,abdomen,epidermis,epidermis,heat separation,heat separation,unknown,unknown,unknown,unknown,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,Glass diffusion cell
Butan-2-one,CCC(C)=O,2,-5.90300000,-5.90300000,0.00000000,1.00000000,0.04550890,44,44,"Blank, 1967","Blank, 1967",10.1038/jid.1967.184,10.1038/jid.1967.184,0,,Cadaver,Cadaver,abdomen,abdomen,epidermis,epidermis,heat separation,heat separation,unknown,unknown,unknown,unknown,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,Glass diffusion cell
