Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
109,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,Estriol,1,-7.95400000,-7.95400000,-7.95400000,-7.95400000,,-7.45674154,-7.45674154,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
110,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,Estrone,1,-6.00000000,-6.00000000,-6.00000000,-6.00000000,,-5.98353807,-5.98353807,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
111,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,Ethacrynic acid,1,-7.38000000,-7.38000000,-7.38000000,-7.38000000,,-7.19405858,-7.19405858,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
112,CCOC(=O)c1ccc(N)cc1,Ethyl p-aminobenzoate,1,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,-5.62783176,-5.62783176,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
113,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Flurbiprofen,1,-5.33100000,-5.33100000,-5.33100000,-5.33100000,,-5.84809304,-5.84809304,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
114,CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,Flurbiprofen glucoside,1,-6.47700000,-6.47700000,-6.47700000,-6.47700000,,-6.95449299,-6.95449299,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
115,CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,Flurbiprofen mannoside,1,-6.93500000,-6.93500000,-6.93500000,-6.93500000,,-6.95449299,-6.95449299,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
116,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCO,Hydrocortisone 21-(6-hydroxyhexanoate),1,-6.59700000,-6.59700000,-6.59700000,-6.59700000,,-6.71935638,-6.71935638,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
117,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,Hydrocortisone 21-Hemipimelate,1,-6.30100000,-6.30100000,-6.30100000,-6.30100000,,-6.50477122,-6.50477122,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
118,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,Hydrocortisone 21-Hemisuccinate,1,-6.75700000,-6.75700000,-6.75700000,-6.75700000,,-6.81021015,-6.81021015,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
119,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Hydrocortisone 21-methylpimelate,1,-5.82400000,-5.82400000,-5.82400000,-5.82400000,,-6.08230331,-6.08230331,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
120,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(N)=O,Hydrocortisone 21-pimelamate,1,-6.60700000,-6.60700000,-6.60700000,-6.60700000,,-6.56401622,-6.56401622,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
121,Oc1ccc(O)cc1,Hydroquinone,1,-6.50600000,-6.50600000,-6.50600000,-6.50600000,,-6.61404001,-6.61404001,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
122,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C,Hydroxypregnenolone,1,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,-6.63788229,-6.63788229,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
123,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,Ibuprofen glucoside,1,-6.94500000,-6.94500000,-6.94500000,-6.94500000,,-7.07021411,-7.07021411,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
124,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,Ibuprofen mannoside,1,-6.54800000,-6.54800000,-6.54800000,-6.54800000,,-7.07021411,-7.07021411,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
125,c1ccc2cnccc2c1,Isoquinoline,1,-5.33200000,-5.33200000,-5.33200000,-5.33200000,,-5.14616952,-5.14616952,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
126,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,Ketoprofen,1,-6.15100000,-6.15100000,-6.15100000,-6.15100000,,-6.11446130,-6.11446130,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
127,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,Ketorolac,1,-5.79900000,-5.79900000,-5.79900000,-5.79900000,,-5.80337992,-5.80337992,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
128,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Levosimendan,1,-6.48400000,-6.48400000,-6.48400000,-6.48400000,,-6.21604654,-6.21604654,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
129,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,1,-6.69100000,-6.69100000,-6.69100000,-6.69100000,,-6.13692316,-6.13692316,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
130,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,Linolenic acid,1,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,-6.12148904,-6.12148904,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
131,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,Meperidine,1,-5.98800000,-5.98800000,-5.98800000,-5.98800000,,-5.44898389,-5.44898389,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
132,COC(=O)Cc1ccc(O)cc1,Methyl 4-hydroxyphenylacetate,1,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,-5.22950239,-5.22950239,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
133,COC(=O)c1ccccc1O,Methyl salicylate,1,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,-4.99743923,-4.99743923,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
134,COCCOCCOCCOC(=O)c1cccnc1,Methyltriglycol nicotinate,1,-7.30800000,-7.30800000,-7.30800000,-7.30800000,,-6.72116789,-6.72116789,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
135,COCCc1ccc(OCC(O)CNC(C)C)cc1,Metoprolol,1,-6.63700000,-6.63700000,-6.63700000,-6.63700000,,-6.67244401,-6.67244401,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
136,CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",1,-6.88900000,-6.88900000,-6.88900000,-6.88900000,,-7.46170827,-7.46170827,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
137,Oc1cccc2ccccc12,Naphthol,1,-5.14100000,-5.14100000,-5.14100000,-5.14100000,,-5.06886304,-5.06886304,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
138,COc1ccc2cc([C@H](C)C(=O)OC[C@H]3OC(O)[C@@H](O)[C@@H](O)[C@@H]3O)ccc2c1,Naproxen mannoside,1,-7.70000000,-7.70000000,-7.70000000,-7.70000000,,-7.25062739,-7.25062739,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
139,CCCCCCCCOC(=O)c1ccc(O)cc1,Octylparaben,1,-5.58800000,-5.58800000,-5.58800000,-5.58800000,,-5.50196152,-5.50196152,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
140,CCCCCCCCC=CCCCCCCCC(=O)O,Oleic acid,1,-6.44200000,-6.44200000,-6.44200000,-6.44200000,,-6.44835935,-6.44835935,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
141,C=CCOc1ccccc1OCC(O)CNC(C)C,Oxprenolol,1,-6.36900000,-6.36900000,-6.36900000,-6.36900000,,-6.92269288,-6.92269288,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
142,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Phenobarbital,1,-6.90000000,-6.90000000,-6.90000000,-6.90000000,,-6.59210686,-6.59210686,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
143,Oc1cc(O)cc(O)c1,Phloroglucinol,1,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,-6.34110713,-6.34110713,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
144,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Prednisolone,1,-7.90600000,-7.90600000,-7.90600000,-7.90600000,,-7.74241974,-7.74241974,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
145,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Pregnenolone,1,-6.38000000,-6.38000000,-6.38000000,-6.38000000,,-6.25904166,-6.25904166,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
146,CC(C)NCC(O)COc1cccc2ccccc12,Propranolol,1,-6.30600000,-6.30600000,-6.30600000,-6.30600000,,-6.40053786,-6.40053786,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
147,CCCOC(=O)c1ccc(O)cc1,Propylparaben,1,-5.41000000,-5.41000000,-5.41000000,-5.41000000,,-5.07893613,-5.07893613,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
148,Oc1cccc(O)c1O,Pyrogallol,1,-6.36600000,-6.36600000,-6.36600000,-6.36600000,,-6.47687365,-6.47687365,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
149,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Raffinose,1,-8.20800000,-8.20800000,-8.20800000,-8.20800000,,-8.06503556,-8.06503556,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
150,Oc1cccc(O)c1,Resorcinol,1,-6.62600000,-6.62600000,-6.62600000,-6.62600000,,-6.33300602,-6.33300602,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
151,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,Scopolamine,1,-7.85200000,-7.85200000,-7.85200000,-7.85200000,,-7.38820505,-7.38820505,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
152,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Sucrose,1,-8.07500000,-8.07500000,-8.07500000,-8.07500000,,-7.94952936,-7.94952936,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
153,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Theophylline,1,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,-7.35333303,-7.35333303,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
154,Cc1ccccc1,Toluene,1,-3.63700000,-3.63700000,-3.63700000,-3.63700000,,-4.04908362,-4.04908362,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
155,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,Triamcinolone,1,-8.95600000,-8.95600000,-8.95600000,-8.95600000,,-8.64571184,-8.64571184,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
156,O=C(O)C(Cl)(Cl)Cl,Trichloroacetic acid,1,-6.27800000,-6.27800000,-6.27800000,-6.27800000,,-6.32342181,-6.32342181,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
157,NC(N)=O,Urea,1,-7.31700000,-7.31700000,-7.31700000,-7.31700000,,-7.28595768,-7.28595768,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
158,Cc1cccc(O)c1,m-Cresol,1,-5.37300000,-5.37300000,-5.37300000,-5.37300000,,-5.29898555,-5.29898555,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
159,O=[N+]([O-])c1cccc(O)c1,m-Nitrophenol,1,-5.80500000,-5.80500000,-5.80500000,-5.80500000,,-5.82425839,-5.82425839,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
160,CCCCCCOC(=O)c1cccnc1,n-Hexyl nicotinate,1,-5.30300000,-5.30300000,-5.30300000,-5.30300000,,-5.08827090,-5.08827090,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
161,Oc1ccccc1Cl,o-Chlorophenol,1,-5.03700000,-5.03700000,-5.03700000,-5.03700000,,-5.01459837,-5.01459837,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
162,Cc1ccccc1O,o-Cresol,1,-5.36000000,-5.36000000,-5.36000000,-5.36000000,,-5.31353537,-5.31353537,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
163,Nc1ccccc1N,o-Phenylenediamine,1,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,-6.92504808,-6.92504808,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
164,CC(C)(C)c1ccccc1O,o-t-Butylphenol,1,-4.68500000,-4.68500000,-4.68500000,-4.68500000,,-4.73354087,-4.73354087,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
165,Oc1ccc(Br)cc1,p-Bromophenol,1,-4.99900000,-4.99900000,-4.99900000,-4.99900000,,-5.03276811,-5.03276811,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
166,Oc1ccc(Cl)cc1,p-Chlorophenol,1,-4.99600000,-4.99600000,-4.99600000,-4.99600000,,-5.01086670,-5.01086670,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
167,Cc1ccc(O)cc1,p-Cresol,1,-5.31300000,-5.31300000,-5.31300000,-5.31300000,,-5.33673631,-5.33673631,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
168,CCc1ccc(O)cc1,p-Ethylphenol,1,-5.01400000,-5.01400000,-5.01400000,-5.01400000,,-4.99055176,-4.99055176,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
169,O=[N+]([O-])c1ccc(O)cc1,p-Nitrophenol,1,-5.81000000,-5.81000000,-5.81000000,-5.81000000,,-5.79024276,-5.79024276,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
170,Nc1ccc(N)cc1,p-Phenylenediamine,1,-7.17600000,-7.17600000,-7.17600000,-7.17600000,,-7.15525135,-7.15525135,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
171,CCCCc1ccc(O)cc1,p-n-Butylphenol,1,-4.67100000,-4.67100000,-4.67100000,-4.67100000,,-4.70039039,-4.70039039,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
