Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
24,COC(=O)c1ccc(O)cc1,Methyl 4-hydroxybenzoate,4,-5.63400000,-5.23000000,-5.52300000,-5.61400000,0.19611221,-5.49396159,-5.46314962,4,4,4,0.40400000,2.53512863,0.03081197,Low (≤0.5 log unit)
25,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Mannitol,4,-8.15800000,-7.77100000,-7.91550000,-7.86650000,0.17404310,-7.98779468,-7.92045973,4,3,3,0.38700000,2.43781082,0.06733495,Low (≤0.5 log unit)
26,O,Water,9,-6.70700000,-6.32300000,-6.49311111,-6.43800000,0.12086195,-6.12423617,-6.12423617,9,4,4,0.38400000,2.42102905,0.00000000,Low (≤0.5 log unit)
27,CCCCOC(C)O,Butoxyethanol,3,-6.36400000,-5.98200000,-6.11533333,-6.00000000,0.21553963,-5.78737537,-5.78737537,3,2,2,0.38200000,2.40990543,0.00000000,Low (≤0.5 log unit)
28,CCCOCCO,2-Propoxyethanol,2,-6.92300000,-6.54300000,-6.73300000,-6.73300000,0.26870058,-6.46161253,-6.46161253,2,1,1,0.38000000,2.39883292,0.00000000,Low (≤0.5 log unit)
29,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Progesterone,3,-5.44200000,-5.07900000,-5.25866667,-5.25500000,0.18152778,-5.35719270,-5.30472852,3,3,3,0.36300000,2.30674719,0.05246418,Low (≤0.5 log unit)
30,Oc1ccc2ccccc2c1,2-Naphthol,2,-5.11100000,-4.75700000,-4.93400000,-4.93400000,0.25031580,-4.95619648,-4.93168735,2,2,2,0.35400000,2.25943577,0.02450913,Low (≤0.5 log unit)
31,COCCOC(C)=O,Ethylene glycol mono methyl ether acetate,2,-6.63700000,-6.29900000,-6.46800000,-6.46800000,0.23900209,-6.13496448,-6.13496448,2,1,1,0.33800000,2.17770977,0.00000000,Low (≤0.5 log unit)
32,Oc1ccc(Cl)cc1Cl,"2,4-Dichlorophenol",2,-5.06500000,-4.77800000,-4.92150000,-4.92150000,0.20293965,-4.71793829,-4.71530510,2,2,2,0.28700000,1.93642196,0.00263319,Low (≤0.5 log unit)
33,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,Aldosterone,3,-8.07900000,-7.79300000,-7.90966667,-7.85700000,0.15009775,-7.83882226,-7.83882226,3,3,3,0.28600000,1.93196832,0.00000000,Low (≤0.5 log unit)
34,CCCO,1-Propanol,5,-6.55600000,-6.30100000,-6.41400000,-6.41000000,0.10566693,-6.42203863,-6.38594988,5,4,4,0.25500000,1.79887092,0.03608875,Low (≤0.5 log unit)
35,CC(C)OCCO,Ethylene glycol mono isopropyl ether,2,-7.12500000,-6.91300000,-7.01900000,-7.01900000,0.14990664,-6.70777923,-6.70777923,2,1,1,0.21200000,1.62929603,0.00000000,Low (≤0.5 log unit)
36,CCCCOC(=O)c1ccc(N)cc1,Butyl p-aminobenzoate,2,-4.60700000,-4.41000000,-4.50850000,-4.50850000,0.13930004,-5.00240509,-5.00240509,2,1,1,0.19700000,1.57398286,0.00000000,Low (≤0.5 log unit)
37,Cc1c(O)cccc1Cl,Chlorocresol,2,-5.00000000,-4.81600000,-4.90800000,-4.90800000,0.13010765,-4.91424669,-4.88830638,2,2,2,0.18400000,1.52756606,0.02594031,Low (≤0.5 log unit)
38,CCCCCCCO,1-Heptanol,4,-5.15800000,-4.98100000,-5.06025000,-5.05100000,0.07304508,-5.06142332,-4.98629365,4,3,3,0.17700000,1.50314197,0.07512967,Low (≤0.5 log unit)
39,c1ccccc1,Benzene,2,-4.51100000,-4.35200000,-4.43150000,-4.43150000,0.11242998,-4.39843731,-4.38829441,2,2,2,0.15900000,1.44211535,0.01014290,Low (≤0.5 log unit)
