cluster,count,mean,std,min,max
0,950,-2.790103755614218,0.6934185128934992,-4.638769664689173,-1.1140338376019945
1,61,-3.422227209096582,0.23874427827667624,-3.8929940764825055,-2.921696405754714
2,982,-2.672279322928987,0.4809894060619225,-4.137504117259676,-1.6158936349446886
3,300,-2.9477409422574596,0.4766736854487502,-4.121551201365574,-1.666740397225427
