k,inertia,silhouette,calinski_harabasz
2,345071.7124993077,0.3306835892850406,494.93432662761904
3,301164.7258347284,0.23883097035132977,450.3520242728125
4,277997.3727819606,0.13229073522191542,388.69900274962646
5,261333.58122696166,0.13519488381422515,346.45091959898855
6,250749.09923870148,0.13575716310888794,308.0413562510463
7,241618.8527967883,0.10139661879744875,280.68197203742875
8,234700.86020743035,0.10117448358783146,257.18936074783966
9,228048.95054133967,0.10030792171787675,239.83118093995697
10,221848.0457998097,0.11187604509239754,226.13631116101234
