model,r2_paper,r2_observed,r2_delta,rmse_paper,rmse_observed,rmse_delta,mae_paper,mae_observed,mae_delta,cv_mae_paper,cv_mae_observed,cv_mae_delta
MLR (10 features),0.338,0.6460336813410316,0.30803368134103154,0.814,0.6114953902119289,-0.20250460978807105,0.624,0.4302721952427674,-0.1937278047572326,0.599,0.5216241416034151,-0.0773758583965849
Decision Tree,0.729,0.7680694540543888,0.039069454054388775,0.535,0.49498403661168383,-0.0400159633883162,0.323,0.3135287111477587,-0.0094712888522413,0.473,0.47154016292558787,-0.001459837074412107
RF,0.788,0.7873849909649513,-0.0006150090350487414,0.473,0.4739245184754773,0.0009245184754773095,0.314,0.3177677310839298,0.003767731083929804,0.444,0.44113113337855314,-0.002868866621446864
XGBoost,0.798,0.7802343764780274,-0.01776562352197264,0.462,0.48182807051318893,0.01982807051318891,0.281,0.30472659852769646,0.02372659852769643,0.446,0.45000002420960783,0.004000024209607822
Gradient Boosting,0.818,0.8124475932239816,-0.005552406776018315,0.439,0.4451163414244178,0.006116341424417804,0.276,0.27804954100923207,0.0020495410092320476,0.441,0.43979953123115123,-0.0012004687688487725
CatBoost,0.797,0.7949537401017125,-0.00204625989828755,0.464,0.46541260776890236,0.0014126077689023409,0.3,0.29682826396686873,-0.003171736033131256,0.436,0.43081870587896987,-0.005181294121030133
LGBM,0.819,0.8167137165569853,-0.002286283443014625,0.437,0.440024846768639,0.0030248467686390113,0.278,0.28415006545252836,0.0061500654525283305,0.445,0.44577042050404153,0.0007704205040415246
ANN,0.797,0.7593282784460986,-0.037671721553901416,0.462,0.5042254359735912,0.04222543597359113,0.298,0.3173102366356623,0.019310236635662337,0.412,,
