XLogP,count,mean,median,band_variable,TopoPSA
"(-0.289, 2.247]",15,0.5959008975078941,0.5389831555592663,XLogP,
"(2.247, 3.87]",15,0.5872399847499781,0.38685379056485303,XLogP,
"(3.87, 4.232]",28,0.33837635186644494,0.18968099370557678,XLogP,
"(4.232, 8.192]",2,0.6586636669512438,0.6586636669512438,XLogP,
,16,0.3925424476487721,0.27728140330089746,TopoPSA,"(-0.001, 29.46]"
,32,0.40244724612385446,0.2096809937055768,TopoPSA,"(29.46, 40.46]"
,12,0.7816656151406111,0.8085329726139119,TopoPSA,"(40.46, 86.28]"
