iter	RMSE
0	1.1740925
1	1.15547337
2	1.134769496
3	1.118136975
4	1.10021526
5	1.082589383
6	1.066461979
7	1.048712046
8	1.032464372
9	1.016091
10	1.00027972
11	0.9839322018
12	0.9694569765
13	0.955449808
14	0.94214851
15	0.9295306289
16	0.916718354
17	0.9041672878
18	0.8912662138
19	0.8805895507
20	0.8692392893
21	0.8592626698
22	0.8481272454
23	0.8375060808
24	0.8274634679
25	0.8188012676
26	0.8099920249
27	0.8010625992
28	0.7919648679
29	0.7844077495
30	0.7759788233
31	0.7673821099
32	0.7599212318
33	0.7523519043
34	0.7453796629
35	0.739165509
36	0.7314700438
37	0.7246816633
38	0.718530581
39	0.712222103
40	0.7058304087
41	0.7001624575
42	0.6937918921
43	0.6893175097
44	0.683943433
45	0.6789039122
46	0.6740652517
47	0.670514947
48	0.6651523814
49	0.66009264
50	0.6556468817
51	0.6519060317
52	0.6475962392
53	0.6433584974
54	0.6395440928
55	0.6355318267
56	0.631430189
57	0.6278236869
58	0.6246007288
59	0.6214327506
60	0.6180938801
61	0.6153376703
62	0.6118802767
63	0.6093376679
64	0.6068862613
65	0.6041839604
66	0.6014197709
67	0.5984614587
68	0.5962855423
69	0.5940135516
70	0.5919201699
71	0.589484056
72	0.5867668698
73	0.5841121943
74	0.5821541322
75	0.5804937029
76	0.5784850275
77	0.5766519095
78	0.5746545569
79	0.572803238
80	0.571103803
81	0.5691216337
82	0.5674733027
83	0.5664865425
84	0.5650958808
85	0.563562183
86	0.5623882213
87	0.5607979496
88	0.5598719498
89	0.5589593371
90	0.5574556473
91	0.5561903173
92	0.5545604029
93	0.5535112472
94	0.552230289
95	0.5512309551
96	0.5499773581
97	0.548620975
98	0.5470548847
99	0.5464740178
100	0.5453193811
101	0.5439840717
102	0.5429664511
103	0.5419791909
104	0.5407681816
105	0.5398874437
106	0.5391096001
107	0.538319765
108	0.5379061547
109	0.5370369014
110	0.5362761874
111	0.5356597491
112	0.5352476096
113	0.5345052569
114	0.5334575215
115	0.5328541496
116	0.531829998
117	0.5308727718
118	0.5301913738
119	0.529506228
120	0.5290451409
121	0.5285192831
122	0.5281282733
123	0.5275882714
124	0.5270721678
125	0.5266576052
126	0.5262077157
127	0.5256177095
128	0.5245741286
129	0.5238284316
130	0.523248541
131	0.5227469375
132	0.5222384691
133	0.5213004161
134	0.5208755198
135	0.5201113186
136	0.5194347332
137	0.5186762055
138	0.5182011714
139	0.5178732684
140	0.5172685366
141	0.5168905891
142	0.516620286
143	0.5159154993
144	0.5152927025
145	0.5148821864
146	0.5144133351
147	0.5138080859
148	0.5135943801
149	0.5133249948
150	0.5129734557
151	0.5123550483
152	0.5118310823
153	0.5114480121
154	0.5111369771
155	0.510691634
156	0.510227599
157	0.5097768744
158	0.5096130693
159	0.5092973344
160	0.5091031782
161	0.5086958432
162	0.508346901
163	0.5079008269
164	0.5075583481
165	0.5069705384
166	0.5065833335
167	0.5057501147
168	0.5053627749
169	0.5049250635
170	0.5044936667
171	0.504163401
172	0.5038010125
173	0.5032262463
174	0.5026226628
175	0.5023122365
176	0.5015998676
177	0.501134607
178	0.5007862456
179	0.5003985205
180	0.5002344595
181	0.4999133073
182	0.4997981964
183	0.4997000248
184	0.4994909623
185	0.498919938
186	0.4986677682
187	0.4984336119
188	0.4981646803
189	0.4978629216
190	0.4976339333
191	0.4973327495
192	0.4970763875
193	0.4966340323
194	0.4964533815
195	0.496254555
196	0.4959645241
197	0.4955666454
198	0.495400309
199	0.4951732995
200	0.494918674
201	0.4947166196
202	0.4944618981
203	0.494291051
204	0.4941612654
205	0.4938066652
206	0.4936363558
207	0.4934268547
208	0.4928124682
209	0.4924508865
210	0.4923222304
211	0.4920616103
212	0.4918620542
213	0.4917406765
214	0.4910401551
215	0.4907781058
216	0.4905424318
217	0.4903413611
218	0.4901813542
219	0.4900327969
220	0.4892342938
221	0.4889737788
222	0.4888284461
223	0.4884965505
224	0.4882670096
225	0.4880959702
226	0.4878236334
227	0.4876323467
228	0.4875215486
229	0.4873094846
230	0.4870845545
231	0.486892031
232	0.4867461787
233	0.4865952827
234	0.4864027465
235	0.4862094543
236	0.4858036399
237	0.4856591715
238	0.4854708106
239	0.4852673947
240	0.4850699045
241	0.4849402097
242	0.4848100766
243	0.4846759643
244	0.4844972941
245	0.4843555506
246	0.484190266
247	0.4840318156
248	0.4838811673
249	0.4837151956
250	0.483526677
251	0.4833519474
252	0.4831870922
253	0.4830158465
254	0.4828470803
255	0.4826672087
256	0.4824460469
257	0.4822987667
258	0.4818132793
259	0.4816545725
260	0.4812402473
261	0.4810503009
262	0.4808944052
263	0.4807388746
264	0.4805771656
265	0.4803247909
266	0.4801968216
267	0.4800617417
268	0.4798983334
269	0.4797422601
270	0.4795980812
271	0.4794822512
272	0.4791441336
273	0.4789702903
274	0.4788685109
275	0.4786296942
276	0.4784806955
277	0.4783138733
278	0.4782236967
279	0.4780823585
280	0.4779442592
281	0.4774434853
282	0.4772843558
283	0.4771557522
284	0.4769958008
285	0.4767812721
286	0.476631172
287	0.4763870601
288	0.4761672529
289	0.4758038196
290	0.4756637708
291	0.4754042429
292	0.4752899873
293	0.4751452352
294	0.4750066091
295	0.4747349357
296	0.4746113613
297	0.4744977222
298	0.4743318453
299	0.4740119947
300	0.4738530815
301	0.4737245955
302	0.4736366853
303	0.4734264757
304	0.4733006901
305	0.4731756399
306	0.4730835531
307	0.4729457695
308	0.4728246646
309	0.4727421604
310	0.4723888906
311	0.4722014349
312	0.4720649193
313	0.4719228634
314	0.4718252419
315	0.4717294914
316	0.4716250901
317	0.4715405897
318	0.4711605827
319	0.4710631389
320	0.4709775322
321	0.4708668443
322	0.47073809
323	0.4705989906
324	0.4705052102
325	0.4703708126
326	0.4700933126
327	0.469997212
328	0.4698891871
329	0.469792981
330	0.4696775814
331	0.4695712359
332	0.4691949828
333	0.4691170208
334	0.4689966439
335	0.4689099075
336	0.4684992418
337	0.4681728352
338	0.4677856019
339	0.4677216903
340	0.4676057542
341	0.4673421096
342	0.4672617422
343	0.4670527857
344	0.4669821542
345	0.4668334428
346	0.4665503967
347	0.466441093
348	0.4663611264
349	0.4661353454
350	0.4660649299
351	0.4660202907
352	0.4658598534
353	0.4656034957
354	0.4655351372
355	0.4653369154
356	0.4649675984
357	0.4648533136
358	0.46478123
359	0.4646234894
360	0.4645629638
361	0.464503675
362	0.4641670172
363	0.4639438243
364	0.4636520187
365	0.4632466394
366	0.4631882048
367	0.4631036311
368	0.4630484592
369	0.4629564735
370	0.4628795959
371	0.4628371565
372	0.4624168151
373	0.462119264
374	0.4619007192
375	0.4615798024
376	0.4614518977
377	0.4611601219
378	0.4610867749
379	0.4610289033
380	0.460973995
381	0.460687212
382	0.4606331774
383	0.4605307952
384	0.4604329528
385	0.4603539278
386	0.4599766789
387	0.459939002
388	0.4598456333
389	0.4597979249
390	0.4597114807
391	0.4596485561
392	0.4595624511
393	0.4595112304
394	0.4592995017
395	0.4590410249
396	0.4589629805
397	0.4586098582
398	0.4585604975
399	0.4584099506
400	0.4582177657
401	0.4581724907
402	0.4581169705
403	0.4580530452
404	0.4577633998
405	0.4574240833
406	0.4573778702
407	0.4573280361
408	0.4572538476
409	0.4572009516
410	0.4570105786
411	0.4568851288
412	0.4566778779
413	0.4566200352
414	0.4562849423
415	0.4562306147
416	0.4560050295
417	0.4559501539
418	0.4558983722
419	0.4556196934
420	0.4553583084
421	0.4553040305
422	0.4550790315
423	0.4548434829
424	0.454676557
425	0.4546047036
426	0.4545441341
427	0.4544712126
428	0.4544061182
429	0.4541447341
430	0.453892446
431	0.4538420036
432	0.4536814045
433	0.4536149331
434	0.4535385703
435	0.4534939594
436	0.4532540079
437	0.4529895591
438	0.4529477957
439	0.4529055831
440	0.4526142027
441	0.4525752698
442	0.4522859159
443	0.4522454466
444	0.4521911266
445	0.4519744994
446	0.4517622457
447	0.4517247244
448	0.4516883478
449	0.4515262324
450	0.4514974962
451	0.4513207804
452	0.4512036297
453	0.4511647064
454	0.4511331969
455	0.4509836387
456	0.4508379715
457	0.4506553771
458	0.4506290005
459	0.4506116806
460	0.4505734357
461	0.4503834826
462	0.4502104798
463	0.4501585695
464	0.4500740118
465	0.4499434759
466	0.4499070361
467	0.4497293351
468	0.4495882468
469	0.4495541683
470	0.4493856557
471	0.4493009336
472	0.4492678786
473	0.4492493659
474	0.4490535906
475	0.4490254593
476	0.4489019892
477	0.4488756431
478	0.4488442375
479	0.448734223
480	0.4486987485
481	0.4486746323
482	0.448539293
483	0.4484887472
484	0.4483007086
485	0.4482033675
486	0.4481676274
487	0.4480494636
488	0.4480209776
489	0.4479732253
490	0.4477990983
491	0.4475797507
492	0.4474634467
493	0.4474357198
494	0.4473035391
495	0.4472642883
496	0.4471972598
497	0.4471738961
498	0.4469902648
499	0.4469282534
500	0.446802513
501	0.446717369
502	0.4466882434
503	0.4465267942
504	0.4463301678
505	0.4462153353
506	0.4461402473
507	0.4460133591
508	0.4459874112
509	0.4459262659
510	0.4458165313
511	0.4457249753
512	0.4456102905
513	0.4455072617
514	0.4453557468
515	0.4452343188
516	0.4452199604
517	0.4450753405
518	0.4449804083
519	0.4449518981
520	0.4448575469
521	0.4448083068
522	0.4447801843
523	0.4446085843
524	0.4445554302
525	0.4444551956
526	0.4444351214
527	0.4444157153
528	0.444393962
529	0.4443636929
530	0.444340695
531	0.4442465978
