row #,COSMOS ID,CAS RN,COSMOS Name,STRUCTURE NOTE,SMILES,InChI,InChIKey,Atoms,Bonds,BondsRot,HAcc,HAccN,HAccO,HDon,HDonN,HDonO,Ro5Viol,Ro5ViolExt,Stereo,Weight,Complex,ComplexRing,TPSA,XlogP,Experimental_logKp_available,Experimental_logKp_record_count,Experimental_logKp_values_log10_cm_per_s,Experimental_logKp_mean_log10_cm_per_s,Experimental_logKp_median_log10_cm_per_s,Experimental_logKp_min_log10_cm_per_s,Experimental_logKp_max_log10_cm_per_s,Structure_match_method,Experimental_source,Source_URL
412,CMS-618,104-76-7,2-ETHYL-1-HEXANOL,EXACT STRUCTURE,CCCCC(CC)CO,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",YIWUKEYIRIRTPP-UHFFFAOYSA-N,27,26,5,1,0,1,1,0,1,0,0,1,130.228,52.5293,0,20.23,2.56513,Yes,1,-7.899,-7.899000,-7.899000,-7.899000,-7.899000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
414,CMS-1136,108-95-2,PHENOL,EXACT STRUCTURE,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,13,13,0,1,0,1,1,0,1,0,0,0,94.1112,46.1417,1,20.23,1.61036,Yes,2,-5.614 | -5.586,-5.600000,-5.600000,-5.614000,-5.586000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
418,CMS-3806,64-19-7,ACETIC ACID,EXACT STRUCTURE,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,8,7,0,2,0,2,1,0,1,0,0,0,60.052,31.0196,0,37.3,-0.0861255,Yes,1,-6.079,-6.079000,-6.079000,-6.079000,-6.079000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
420,CMS-14254,9038-95-3,ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE),EXACT STRUCTURE,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,15,14,2,1,0,1,1,0,1,0,0,0,APPROXIMATION = 500-4000,13.1194,0,20.23,0.807053,Yes,14,-7.778 | -6.556 | -6.214 | -6.158 | -6.079 | -5.816 | -5.659 | -5.481 | -5.193 | -5.079 | -4.703,-5.940500,-6.079000,-7.778000,-4.703000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
425,CMS-4846,69-72-7,SALICYLIC ACID,EXACT STRUCTURE,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,16,16,1,3,0,3,2,0,2,0,0,0,138.121,132.813,1,57.53,2.2083,Yes,6,-7.556 | -6.588 | -6.216 | -5.76 | -5.416 | -5.136,-6.112000,-5.988000,-7.556000,-5.136000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
426,CMS-1379,108-88-3,TOLUENE,EXACT STRUCTURE,Cc1ccccc1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N,15,15,0,0,0,0,0,0,0,0,0,0,92.1384,42,1,0,2.4565,Yes,1,-3.637,-3.637000,-3.637000,-3.637000,-3.637000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
430,CMS-1541,112-34-5,DIETHYLENE GLYCOL MONOBUTYL ETHER,EXACT STRUCTURE,CCCCOCCOCCO,"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",OAYXUHPQHDHDDZ-UHFFFAOYSA-N,29,28,8,3,0,3,1,0,1,0,0,0,162.227,66.3575,0,38.69,0.442258,Yes,2,-8.004 | -7.071,-7.537500,-7.537500,-8.004000,-7.071000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
442,CMS-216,94-26-8,BUTYL P-HYDROXYBENZOATE,EXACT STRUCTURE,CCCCOC(=O)c1ccc(O)cc1,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",QFOHBWFCKVYLES-UHFFFAOYSA-N,28,28,5,3,0,3,1,0,1,0,0,0,194.227,171.371,1,46.53,2.87421,Yes,1,-4.538,-4.538000,-4.538000,-4.538000,-4.538000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
453,CMS-1908,111-90-0,DIETHYLENE GLYCOL MONOETHYL ETHER,EXACT STRUCTURE,CCOCCOCCO,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",XXJWXESWEXIICW-UHFFFAOYSA-N,23,22,6,3,0,3,1,0,1,0,0,0,134.174,47.5676,0,38.69,-0.45029,Yes,1,-7.436,-7.436000,-7.436000,-7.436000,-7.436000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
454,CMS-263,120-80-9,CATECHOL,EXACT STRUCTURE,Oc1ccccc1O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,14,14,0,2,0,2,2,0,2,0,0,0,110.111,62.9288,1,40.46,1.63393,Yes,1,-6.066,-6.066000,-6.066000,-6.066000,-6.066000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
455,CMS-3637,110-80-5,ETHYLENE GLYCOL MONOETHYL ETHER,EXACT STRUCTURE,CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",ZNQVEEAIQZEUHB-UHFFFAOYSA-N,16,15,3,2,0,2,1,0,1,0,0,0,90.121,21.5098,0,29.46,-0.267892,Yes,9,-7.785 | -7.687 | -7.158 | -6.631 | -5.647 | -5.63 | -5.545 | -5.544,-6.531667,-6.631000,-7.785000,-5.544000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
462,CMS-1740,60-29-7,DIETHYL ETHER,EXACT STRUCTURE,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N,15,14,2,1,0,1,0,0,0,0,0,0,74.1216,11.1194,0,9.23,0.865642,Yes,2,-5.352,-5.352000,-5.352000,-5.352000,-5.352000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
463,CMS-1746,67-56-1,METHYL ALCOHOL,EXACT STRUCTURE,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,6,5,0,1,0,1,1,0,1,0,0,0,32.0419,2,0,20.23,-0.513384,Yes,7,-6.857 | -6.556 | -6.352 | -5.539 | -5.195 | -4.832 | -3.857,-5.598286,-5.539000,-6.857000,-3.857000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
