Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
11,2-Propoxyethanol,CCCOCCO,CCCOCCO,3,2,1,66.66666667,High (>1.0 log unit),-6.92300000,-3.19200000,-5.55266667,-6.54300000,2.05320733,1.86550000,3.73100000,5382.69782516,-6.92300000,-6.54300000,-6.73300000,-6.73300000,0.26870058,0.19000000,0.38000000,-6.46161253,-6.46161253,-6.46161253,-6.46161253,0.00000000,0.00000000,0.00000000,1,-6.46161253,-6.46161253,-6.46161253,-6.46161253,0.00000000,0.00000000,0.00000000,1,0.08138747,0.46138747,0.27138747,3,2,,,"Barber, 1992 || Venier, 2004","Venier, 2004",2,1,10.1016/0272-0590(92)90086-W || 10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,2,1
12,Urea,NC(N)=O,NC(=O)N,2,1,1,50.00000000,High (>1.0 log unit),-7.31700000,-3.83000000,-5.57350000,-5.57350000,2.46568135,1.74350000,3.48700000,3069.02198839,-7.31700000,-7.31700000,-7.31700000,-7.31700000,,0.00000000,0.00000000,-7.32235150,-7.28595768,-7.30415459,-7.30415459,0.02573431,0.01819691,0.03639381,2,-7.28595768,-7.28595768,-7.28595768,-7.28595768,,0.00000000,0.00000000,1,0.03104232,0.03104232,0.03104232,2,1,37,37,"Barber, 1992 || Peck, 1994","Peck, 1994",2,1,10.1016/0272-0590(92)90086-W || 10.1023/A:1018998529283,10.1023/A:1018998529283,2,1
13,Ethanol,CCO,CCO,11,7,4,63.63636364,High (>1.0 log unit),-7.07900000,-3.65300000,-6.02381818,-6.35200000,1.04317926,1.21350000,3.42600000,2666.85866452,-7.07900000,-6.27800000,-6.66742857,-6.65300000,0.31208271,0.42300000,0.80100000,-6.55738090,-6.49022097,-6.52535807,-6.54635716,0.02726466,0.04646938,0.06715994,4,-6.55738090,-6.49022097,-6.52663556,-6.54635716,0.02902845,0.04646938,0.06715994,4,0.04644540,0.53264284,0.24091928,11,7,22 | 35 | 25 | 30,22 | 35 | 25 | 30,"Blank, 1964 || Cross, 2003 || Scheuplein, 1965 || Scheuplein, 1971 || Scheuplein, 1973 || Scott, 1990","Blank, 1964 || Cross, 2003 || Scheuplein, 1965 || Scheuplein, 1973 || Scott, 1990",6,5,10.1038/jid.1964.174 || 10.1046/j.1523-1747.2003.12131.x || 10.1038/jid.1965.140 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090 || 10.1111/1523-1747.ep12475447,10.1038/jid.1964.174 || 10.1046/j.1523-1747.2003.12131.x || 10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090 || 10.1111/1523-1747.ep12475447,6,5
14,1-Butanol,CCCCO,CCCCO,14,10,4,71.42857143,High (>1.0 log unit),-7.77800000,-4.70300000,-5.94050000,-6.07900000,0.74296990,0.67450000,3.07500000,1188.50222744,-6.55600000,-5.48100000,-6.04140000,-6.11850000,0.31010686,0.31825000,1.07500000,-6.00137486,-5.97248886,-5.98103634,-5.97606842,0.00932858,0.01600800,0.02888600,4,-6.00137486,-5.97248886,-5.98089577,-5.97606842,0.01012167,0.01600800,0.02888600,4,0.07762514,0.56750314,0.25422937,14,10,35 | 25 | 30,35 | 25 | 30,"Blank, 1967 || Chantasart, 2010 || Cross, 2003 || Mitragotri, 1995 || Mitragotri, 1996 || Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1973","Blank, 1967 || Chantasart, 2010 || Cross, 2003 || Mitragotri, 1995 || Mitragotri, 1996 || Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1973",8,8,10.1038/jid.1967.184 || 10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1002/jps.2600840607 || 10.1023/A:1016096626810 || 10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1111/1523-1747.ep12723090,10.1038/jid.1967.184 || 10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1002/jps.2600840607 || 10.1023/A:1016096626810 || 10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1111/1523-1747.ep12723090,8,8
15,Methanol,CO,CO,7,3,4,42.85714286,High (>1.0 log unit),-6.85700000,-3.85700000,-5.59828571,-5.53900000,1.06888473,1.44050000,3.00000000,1000.00000000,-6.85700000,-6.35200000,-6.58833333,-6.55600000,0.25404790,0.25250000,0.50500000,-6.68430346,-6.64357114,-6.66636637,-6.67327972,0.01608395,0.01485429,0.04073232,3,-6.68430346,-6.64357114,-6.66705144,-6.67327972,0.02106832,0.02036616,0.04073232,3,0.08757114,0.33230346,0.20119830,7,3,25 | 30,25 | 30,"Scheuplein, 1965 || Scheuplein, 1971 || Scheuplein, 1973 || Southwell, 1984","Scheuplein, 1965 || Scheuplein, 1973 || Southwell, 1984",4,3,10.1038/jid.1965.140 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090 || 10.1016/0378-5173(84)90145-5,10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090 || 10.1016/0378-5173(84)90145-5,4,3
16,Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,16,11,5,68.75000000,High (>1.0 log unit),-7.90300000,-4.94500000,-6.02268750,-5.77850000,0.74803126,0.82800000,2.95800000,907.82053018,-6.21400000,-5.47600000,-5.73063636,-5.67000000,0.27577936,0.35250000,0.73800000,-5.81502394,-5.79805027,-5.81022382,-5.80969517,0.00575236,0.00532877,0.01697367,4,-5.81502394,-5.79805027,-5.81105871,-5.80969517,0.00507081,0.00532877,0.01697367,3,0.01197606,0.41594973,0.23821833,16,11,25 | 32 | 26 | 37,25 | 32 | 37,"Buist, 2010 || Johnson, 1996 || Mitragotri, 1995 || Mitragotri, 2000 || Qvist, 2000 || Scheuplein, 1969 || Siddiqui, 1989 || Bronaugh, 1986 || Sznitowska, 2001 || Wilkinson, 2006","Buist, 2010 || Johnson, 1996 || Mitragotri, 1995 || Mitragotri, 2000 || Qvist, 2000 || Bronaugh, 1986 || Sznitowska, 2001",10,7,10.1016/j.yrtph.2010.02.008 || 10.1021/js960079z || 10.1002/jps.2600840607 || 10.1023/A:1007547809430 || 10.1016/S0928-0987(00)00091-9 || 10.1038/jid.1969.9 || 10.1007/bf01061455 || 10.1111/j.1365-2133.1986.tb06214.x || 10.1016/s0168-3659(01)00443-6 || 10.1007/s00420-005-0056-5,10.1016/j.yrtph.2010.02.008 || 10.1021/js960079z || 10.1002/jps.2600840607 || 10.1023/A:1007547809430 || 10.1016/S0928-0987(00)00091-9 || 10.1111/j.1365-2133.1986.tb06214.x || 10.1016/s0168-3659(01)00443-6,10,7
17,Salicylic acid,O=C(O)c1ccccc1O,OC(=O)c1ccccc1O,6,3,3,50.00000000,High (>1.0 log unit),-7.55600000,-5.13600000,-6.11200000,-5.98800000,0.88129723,0.99300000,2.42000000,263.02679919,-6.21600000,-5.41600000,-5.79733333,-5.76000000,0.40130454,0.40000000,0.80000000,-5.84409906,-5.82096715,-5.82482247,-5.82096715,0.00944357,0.00000000,0.02313192,2,-5.84409906,-5.82096715,-5.82867779,-5.82096715,0.01335522,0.01156596,0.02313192,2,0.08409906,0.40496715,0.29469969,6,3,30 | 32,30 | 32,"Buist, 2010 || Degim, 1998 || Hadgraft, 1987 || Mitragotri, 1996 || Qvist, 2000 || Schmook, 2001","Degim, 1998 || Hadgraft, 1987 || Schmook, 2001",6,3,10.1016/j.yrtph.2010.02.008 || 10.1016/S0378-5173(98)00113-6 || 10.1016/0378-5173(87)90210-9 || 10.1023/A:1016096626810 || 10.1016/S0928-0987(00)00091-9 || 10.1016/S0378-5173(00)00665-7,10.1016/S0378-5173(98)00113-6 || 10.1016/0378-5173(87)90210-9 || 10.1016/S0378-5173(00)00665-7,6,3
18,Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,15,12,3,80.00000000,High (>1.0 log unit),-7.07900000,-4.81500000,-5.99013333,-5.96700000,0.52840864,0.27950000,2.26400000,183.65383433,-6.68400000,-5.55600000,-6.03916667,-5.99250000,0.31063888,0.16900000,1.12800000,-6.13821594,-6.10557185,-6.13039186,-6.13682104,0.01290373,0.00220845,0.03264410,5,-6.13821594,-6.10557185,-6.12875691,-6.13682104,0.01404742,0.01112498,0.03264410,4,0.05782104,0.58082104,0.25585810,15,12,30 | 37 | 25 | 26 | 32,30 | 37 | 25 | 32,"Galey, 1976 || Goodman, 1988 || Johnson, 1995 || Johnson, 1996 || Knutson, 1993 || Michaels A. S., 1975 || Mitragotri, 1995 || Mitragotri, 1996 || Mitragotri, 2000 || Scheuplein, 1969 || Williams, 1992 || Pershing, 1993","Galey, 1976 || Goodman, 1988 || Johnson, 1995 || Johnson, 1996 || Knutson, 1993 || Michaels A. S., 1975 || Mitragotri, 1995 || Mitragotri, 1996 || Mitragotri, 2000 || Pershing, 1993",12,10,10.1111/1523-1747.ep12598596 || 10.1111/1523-1747.ep12475655 || 10.1002/jps.2600840922 || 10.1021/js960079z || 10.1016/0168-3659(93)90170-A || 10.1002/aic.690210522 || 10.1002/jps.2600840607 || 10.1023/A:1016096626810 || 10.1023/A:1007547809430 || 10.1038/jid.1969.9 || 10.1016/0378-5173(92)90032-W || 10.1023/A:1018974131236,10.1111/1523-1747.ep12598596 || 10.1111/1523-1747.ep12475655 || 10.1002/jps.2600840922 || 10.1021/js960079z || 10.1016/0168-3659(93)90170-A || 10.1002/aic.690210522 || 10.1002/jps.2600840607 || 10.1023/A:1016096626810 || 10.1023/A:1007547809430 || 10.1023/A:1018974131236,12,10
19,2-Ethoxyethanol,CCOCCO,OCCOCC,9,3,6,33.33333333,High (>1.0 log unit),-7.78500000,-5.54500000,-6.54166667,-6.63100000,0.94035552,1.52400000,2.24000000,173.78008287,-7.15800000,-6.63100000,-6.98233333,-7.15800000,0.30426359,0.26350000,0.52700000,-6.64891502,-6.63506730,-6.63814457,-6.63506730,0.00610627,0.00000000,0.01384772,2,-6.64891502,-6.63506730,-6.64429911,-6.64891502,0.00799499,0.00692386,0.01384772,2,0.01791502,0.52293270,0.34997757,9,3,30,30,"Blank, 1967 || Scheuplein, 1967 || Wilkinson, 2002 || Lockley, 2002 || Dugard, 1984","Blank, 1967 || Scheuplein, 1967 || Dugard, 1984",5,3,10.1038/jid.1967.184 || 10.1038/jid.1967.11 || 10.1007/s00420-002-0367-8 || 10.1006/taap.2002.9373 || 10.1289/ehp.8457193,10.1038/jid.1967.184 || 10.1038/jid.1967.11 || 10.1289/ehp.8457193,5,3
20,Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,4,1,3,25.00000000,High (>1.0 log unit),-8.78400000,-6.69100000,-7.61775000,-7.49800000,0.92201351,1.10675000,2.09300000,123.87965865,-6.69100000,-6.69100000,-6.69100000,-6.69100000,,0.00000000,0.00000000,-6.13692316,-6.13692316,-6.13692316,-6.13692316,0.00000000,0.00000000,0.00000000,1,-6.13692316,-6.13692316,-6.13692316,-6.13692316,,0.00000000,0.00000000,1,0.55407684,0.55407684,0.55407684,4,1,32,32,"Dick, 1997","Dick, 1997",1,1,10.1177/096032719701601104,10.1177/096032719701601104,1,1
