Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
21,Hydroquinone,Oc1ccc(O)cc1,Oc1ccc(cc1)O,2,1,1,50.00000000,High (>1.0 log unit),-8.58600000,-6.50600000,-7.54600000,-7.54600000,1.47078210,1.04000000,2.08000000,120.22644346,-6.50600000,-6.50600000,-6.50600000,-6.50600000,,0.00000000,0.00000000,-6.63391156,-6.61404001,-6.62397578,-6.62397578,0.01405131,0.00993577,0.01987155,2,-6.61404001,-6.61404001,-6.61404001,-6.61404001,,0.00000000,0.00000000,1,0.10804001,0.10804001,0.10804001,2,1,37,37,"du Plessis, 2002 || Barber, 1995","du Plessis, 2002",2,1,10.1016/S0928-0987(02)00085-4 || 10.1016/0378-4274(95)03393-Y,10.1016/S0928-0987(02)00085-4,2,1
22,Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,12,10,2,83.33333333,High (>1.0 log unit),-7.07900000,-5.01300000,-5.64725000,-5.52950000,0.60819437,0.63500000,2.06600000,116.41260294,-5.84900000,-5.01300000,-5.42460000,-5.47750000,0.31475535,0.53000000,0.83600000,-5.52029326,-5.51023571,-5.51107384,-5.51023571,0.00290337,0.00000000,0.01005755,2,-5.52029326,-5.51023571,-5.51124146,-5.51023571,0.00318048,0.00000000,0.01005755,2,0.00723571,0.49723571,0.26004139,12,10,30 | 37,30 | 37,"Michaels A. S., 1975 || Roy, 1989 || Roy, 1990","Michaels A. S., 1975 || Roy, 1989 || Roy, 1990",3,3,10.1002/aic.690210522 || 10.1023/A:1015944018555 || 10.1023/A:1015912932416,10.1002/aic.690210522 || 10.1023/A:1015944018555 || 10.1023/A:1015912932416,3,3
23,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,10,7,3,70.00000000,High (>1.0 log unit),-9.19500000,-7.19500000,-7.94590000,-7.52900000,0.82562898,1.35400000,2.00000000,100.00000000,-7.68100000,-7.19500000,-7.43985714,-7.43100000,0.15938154,0.17200000,0.48600000,-7.45466450,-7.34491210,-7.37294537,-7.34782769,0.04529878,0.03993571,0.10975240,5,-7.39621599,-7.34491210,-7.35307425,-7.34491210,0.01914744,0.00291559,0.05130389,3,0.01208790,0.33608790,0.13128097,10,7,30 | 26 | 25 | 37 | 32,30 | 37,"Hadgraft, 1987 || Johnson, 1995 || Scheuplein, 1969 || Siddiqui, 1989 || Sznitowska, 2001 || Schmook, 2001","Hadgraft, 1987 || Johnson, 1995 || Sznitowska, 2001",6,3,10.1016/0378-5173(87)90210-9 || 10.1002/jps.2600840922 || 10.1038/jid.1969.9 || 10.1007/bf01061455 || 10.1016/s0168-3659(01)00443-6 || 10.1016/S0378-5173(00)00665-7,10.1016/0378-5173(87)90210-9 || 10.1002/jps.2600840922 || 10.1016/s0168-3659(01)00443-6,6,3
24,2-Butoxyethanol,CCCCOCCO,CCCCOCCO,2,1,1,50.00000000,High (>1.0 log unit),-7.22600000,-5.26800000,-6.24700000,-6.24700000,1.38451508,0.97900000,1.95800000,90.78205302,-5.26800000,-5.26800000,-5.26800000,-5.26800000,,0.00000000,0.00000000,-5.81347378,-5.79545676,-5.80446527,-5.80446527,0.01273996,0.00900851,0.01801702,2,-5.79545676,-5.79545676,-5.79545676,-5.79545676,,0.00000000,0.00000000,1,0.52745676,0.52745676,0.52745676,2,1,30,,"Wilkinson, 2002 || Dugard, 1984","Wilkinson, 2002",2,1,10.1007/s00420-002-0367-8 || 10.1289/ehp.8457193,10.1007/s00420-002-0367-8,2,1
25,Sufentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC,11,9,2,81.81818182,High (>1.0 log unit),-6.89400000,-5.01800000,-5.53645455,-5.37400000,0.56507740,0.52050000,1.87600000,75.16228940,-5.76400000,-5.01800000,-5.31655556,-5.36000000,0.25706911,0.39500000,0.74600000,-5.39696371,-5.39696371,-5.39696371,-5.39696371,0.00000000,0.00000000,0.00000000,1,-5.39696371,-5.39696371,-5.39696371,-5.39696371,0.00000000,0.00000000,0.00000000,1,0.02296371,0.37896371,0.21421012,11,9,37,37,"Roy, 1989 || Roy, 1990","Roy, 1989 || Roy, 1990",2,2,10.1023/A:1015944018555 || 10.1023/A:1015912932416,10.1023/A:1015944018555 || 10.1023/A:1015912932416,2,2
26,Bis(2-ethylhexyl)phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,3,2,1,66.66666667,High (>1.0 log unit),-8.80000000,-6.97900000,-7.81066667,-7.65300000,0.92068145,0.91050000,1.82100000,66.22165037,-7.65300000,-6.97900000,-7.31600000,-7.31600000,0.47658997,0.33700000,0.67400000,-7.37165980,-7.31801745,-7.35377901,-7.37165980,0.03097043,0.02682118,0.05364235,2,-7.37165980,-7.37165980,-7.37165980,-7.37165980,0.00000000,0.00000000,0.00000000,1,0.28134020,0.39265980,0.33700000,3,2,30,,"Barber, 1992 || Buist, 2010 || Scott, 1987","Barber, 1992 || Buist, 2010",3,2,10.1016/0272-0590(92)90086-W || 10.1016/j.yrtph.2010.02.008 || 10.1289/ehp.8774223,10.1016/0272-0590(92)90086-W || 10.1016/j.yrtph.2010.02.008,3,2
27,4-Amino-2-Nitrophenol,Nc1ccc(O)c([N+](=O)[O-])c1,Nc1ccc(c(c1)[N+](=O)[O-])O,2,1,1,50.00000000,High (>1.0 log unit),-7.62200000,-6.10900000,-6.86550000,-6.86550000,1.06985256,0.75650000,1.51300000,32.58367010,-7.62200000,-7.62200000,-7.62200000,-7.62200000,,0.00000000,0.00000000,-7.23604440,-7.23604440,-7.23604440,-7.23604440,0.00000000,0.00000000,0.00000000,1,-7.23604440,-7.23604440,-7.23604440,-7.23604440,,0.00000000,0.00000000,1,0.38595560,0.38595560,0.38595560,2,1,32,32,"Bronaugh, 1984","Bronaugh, 1984",1,1,10.1111/1523-1747.ep12263302,10.1111/1523-1747.ep12263302,1,1
28,Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC(=O)Nc1c(C)cccc1C)CC,6,4,2,66.66666667,High (>1.0 log unit),-7.02100000,-5.53000000,-6.21033333,-6.01850000,0.63668569,0.97525000,1.49100000,30.97419299,-6.07900000,-5.53000000,-5.81850000,-5.83250000,0.24697166,0.32550000,0.54900000,-5.98338128,-5.98338128,-5.98338128,-5.98338128,0.00000000,0.00000000,0.00000000,1,-5.98338128,-5.98338128,-5.98338128,-5.98338128,0.00000000,0.00000000,0.00000000,1,0.02538128,0.45338128,0.21269064,6,4,,,"Johnson, 1996 || Mitragotri, 2000 || Kushla, 1991","Johnson, 1996 || Mitragotri, 2000 || Kushla, 1991",3,3,10.1021/js960079z || 10.1023/A:1007547809430 || 10.1016/0378-5173(91)90387-4,10.1021/js960079z || 10.1023/A:1007547809430 || 10.1016/0378-5173(91)90387-4,3,3
29,Levosimendan,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@H]1C)C#N,2,1,1,50.00000000,High (>1.0 log unit),-7.95400000,-6.48400000,-7.21900000,-7.21900000,1.03944697,0.73500000,1.47000000,29.51209227,-6.48400000,-6.48400000,-6.48400000,-6.48400000,,0.00000000,0.00000000,-6.21604654,-6.14350244,-6.17977449,-6.17977449,0.05129642,0.03627205,0.07254410,2,-6.21604654,-6.21604654,-6.21604654,-6.21604654,,0.00000000,0.00000000,1,0.26795346,0.26795346,0.26795346,2,1,25,25,"Valjakka-Koskela, 2000","Valjakka-Koskela, 2000",1,1,10.1016/S0928-0987(00)00120-2,10.1016/S0928-0987(00)00120-2,1,1
30,2-Amino-4-Nitrophenol,Nc1cc([N+](=O)[O-])ccc1O,[O-][N+](=O)c1ccc(c(c1)N)O,2,1,1,50.00000000,High (>1.0 log unit),-8.07900000,-6.73700000,-7.40800000,-7.40800000,0.94893730,0.67100000,1.34200000,21.97859873,-6.73700000,-6.73700000,-6.73700000,-6.73700000,,0.00000000,0.00000000,-6.69091160,-6.69091160,-6.69091160,-6.69091160,0.00000000,0.00000000,0.00000000,1,-6.69091160,-6.69091160,-6.69091160,-6.69091160,,0.00000000,0.00000000,1,0.04608840,0.04608840,0.04608840,2,1,32,32,"Bronaugh, 1984","Bronaugh, 1984",1,1,10.1111/1523-1747.ep12263302,10.1111/1523-1747.ep12263302,1,1
31,Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,4,3,1,75.00000000,High (>1.0 log unit),-6.38000000,-5.07900000,-5.53900000,-5.34850000,0.57992701,0.46550000,1.30100000,19.99861870,-5.44200000,-5.07900000,-5.25866667,-5.25500000,0.18152778,0.18150000,0.36300000,-5.35719270,-5.30472852,-5.33096061,-5.33096061,0.03029021,0.05246419,0.05246419,2,-5.35719270,-5.30472852,-5.33970464,-5.35719270,0.03029021,0.02623209,0.05246419,2,0.10219270,0.27819270,0.17255230,4,3,25 | 26,25,"Johnson, 1995 || Mitragotri, 1995 || Mitragotri, 2000 || Scheuplein, 1969","Johnson, 1995 || Mitragotri, 1995 || Mitragotri, 2000",4,3,10.1002/jps.2600840922 || 10.1002/jps.2600840607 || 10.1023/A:1007547809430 || 10.1038/jid.1969.9,10.1002/jps.2600840922 || 10.1002/jps.2600840607 || 10.1023/A:1007547809430,4,3
32,Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,4,3,1,75.00000000,High (>1.0 log unit),-9.07900000,-7.79300000,-8.20200000,-7.96800000,0.59737314,0.48800000,1.28600000,19.31968317,-8.07900000,-7.79300000,-7.90966667,-7.85700000,0.15009775,0.14300000,0.28600000,-7.95743675,-7.83882226,-7.86847589,-7.83882226,0.05930724,0.02965362,0.11861449,2,-7.83882226,-7.83882226,-7.83882226,-7.83882226,0.00000000,0.00000000,0.00000000,1,0.01817774,0.24017774,0.10139258,4,3,26,,"Johnson, 1995 || Mitragotri, 1996 || Mitragotri, 2000 || Scheuplein, 1969","Johnson, 1995 || Mitragotri, 1996 || Mitragotri, 2000",4,3,10.1002/jps.2600840922 || 10.1023/A:1016096626810 || 10.1023/A:1007547809430 || 10.1038/jid.1969.9,10.1002/jps.2600840922 || 10.1023/A:1016096626810 || 10.1023/A:1007547809430,4,3
33,Scopolamine,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C,4,1,3,25.00000000,High (>1.0 log unit),-9.12800000,-7.85200000,-8.51575000,-8.54150000,0.58371818,0.79975000,1.27600000,18.87991349,-7.85200000,-7.85200000,-7.85200000,-7.85200000,,0.00000000,0.00000000,-7.38820505,-7.38820505,-7.38820505,-7.38820505,0.00000000,0.00000000,0.00000000,1,-7.38820505,-7.38820505,-7.38820505,-7.38820505,,0.00000000,0.00000000,1,0.46379495,0.46379495,0.46379495,3,1,30,30,"Michaels A. S., 1975","Michaels A. S., 1975",1,1,10.1002/aic.690210522,10.1002/aic.690210522,1,1
34,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1cnc2c1c(=O)n(C)c(=O)n2C,7,6,1,85.71428571,High (>1.0 log unit),-7.55600000,-6.35200000,-6.91285714,-6.91500000,0.39732582,0.41450000,1.20400000,15.99558029,-7.55600000,-6.54100000,-7.00633333,-6.98400000,0.34065212,0.27225000,1.01500000,-6.96369585,-6.92365842,-6.93420476,-6.92365842,0.01810146,0.01689349,0.04003743,3,-6.96369585,-6.92365842,-6.93033132,-6.92365842,0.01634521,0.00000000,0.04003743,2,0.00865842,0.59230415,0.23832709,7,6,32 | 25 | 30,32 | 25,"Akomeah, 2007 || Mitragotri, 1995 || Bronaugh, 1986 || Dias, 1999 || Southwell, 1984 || Wilkinson, 2006","Akomeah, 2007 || Mitragotri, 1995 || Bronaugh, 1986 || Dias, 1999 || Wilkinson, 2006",6,5,10.1002/jps.20773 || 10.1002/jps.2600840607 || 10.1111/j.1365-2133.1986.tb06214.x || 10.1016/S0378-5173(99)00067-8 || 10.1016/0378-5173(84)90145-5 || 10.1007/s00420-005-0056-5,10.1002/jps.20773 || 10.1002/jps.2600840607 || 10.1111/j.1365-2133.1986.tb06214.x || 10.1016/S0378-5173(99)00067-8 || 10.1007/s00420-005-0056-5,6,5
35,Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,2,1,1,50.00000000,High (>1.0 log unit),-8.55600000,-7.38000000,-7.96800000,-7.96800000,0.83155757,0.58800000,1.17600000,14.99684836,-7.38000000,-7.38000000,-7.38000000,-7.38000000,,0.00000000,0.00000000,-7.51432383,-7.39868215,-7.45650299,-7.45650299,0.08177101,0.05782084,0.11564168,2,-7.39868215,-7.39868215,-7.39868215,-7.39868215,,0.00000000,0.00000000,1,0.01868215,0.01868215,0.01868215,2,1,26,,"Buist, 2010 || Scheuplein, 1969","Buist, 2010",2,1,10.1016/j.yrtph.2010.02.008 || 10.1038/jid.1969.9,10.1016/j.yrtph.2010.02.008,2,1
36,2-Phenylphenol,Oc1ccccc1-c1ccccc1,Oc1ccccc1c1ccccc1,2,1,1,50.00000000,High (>1.0 log unit),-6.35500000,-5.29400000,-5.82450000,-5.82450000,0.75024029,0.53050000,1.06100000,11.50800389,-5.29400000,-5.29400000,-5.29400000,-5.29400000,,0.00000000,0.00000000,-4.81856175,-4.81856175,-4.81856175,-4.81856175,0.00000000,0.00000000,0.00000000,1,-4.81856175,-4.81856175,-4.81856175,-4.81856175,,0.00000000,0.00000000,1,0.47543825,0.47543825,0.47543825,2,1,,,"Cnubben, 2002","Cnubben, 2002",1,1,10.1006/rtph.2001.1530,10.1006/rtph.2001.1530,1,1
37,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,7,7,0,100.00000000,Moderate (>0.5 to 1.0 log unit),-7.50300000,-6.50300000,-6.92600000,-6.84000000,0.34593689,0.39800000,1.00000000,10.00000000,-7.50300000,-6.50300000,-6.92600000,-6.84000000,0.34593689,0.39800000,1.00000000,-6.95158058,-6.95158058,-6.95158058,-6.95158058,0.00000000,0.00000000,0.00000000,1,-6.95158058,-6.95158058,-6.95158058,-6.95158058,0.00000000,0.00000000,0.00000000,1,0.05541942,0.55141942,0.27251151,6,6,,,"Vaidyanathan, 1985","Vaidyanathan, 1985",1,1,10.1016/0378-5173(85)90106-1,10.1016/0378-5173(85)90106-1,1,1
38,Betamethasone-17-valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CCCCC(=O)OC1(C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F)C(=O)CO,2,1,1,50.00000000,Moderate (>0.5 to 1.0 log unit),-6.49600000,-5.52500000,-6.01050000,-6.01050000,0.68660068,0.48550000,0.97100000,9.35405674,-6.49600000,-6.49600000,-6.49600000,-6.49600000,,0.00000000,0.00000000,-6.46176722,-6.43929511,-6.45053117,-6.45053117,0.01589018,0.01123605,0.02247211,2,-6.46176722,-6.46176722,-6.46176722,-6.46176722,,0.00000000,0.00000000,1,0.03423278,0.03423278,0.03423278,2,1,25 | 37,25,"Siddiqui, 1989 || Kubota, 1993","Siddiqui, 1989",2,1,10.1007/bf01061455 || 10.1002/jps.2600821017,10.1007/bf01061455,2,1
39,p-Cresol,Cc1ccc(O)cc1,Cc1ccc(cc1)O,2,1,1,50.00000000,Moderate (>0.5 to 1.0 log unit),-5.31300000,-4.47700000,-4.89500000,-4.89500000,0.59114127,0.41800000,0.83600000,6.85488226,-5.31300000,-5.31300000,-5.31300000,-5.31300000,,0.00000000,0.00000000,-5.33673631,-5.33321983,-5.33497807,-5.33497807,0.00248653,0.00175824,0.00351648,2,-5.33673631,-5.33673631,-5.33673631,-5.33673631,,0.00000000,0.00000000,1,0.02373631,0.02373631,0.02373631,2,1,25,25,"Anderson, 1989 || Roberts, 1977","Roberts, 1977",2,1,10.1111/1523-1747.ep12277592 || 10.1111/j.2042-7158.1977.tb11434.x,10.1111/j.2042-7158.1977.tb11434.x,2,1
40,Nicotine,CN1CCCC1c1cccnc1,CN1CCCC1c1cccnc1,3,3,0,100.00000000,Moderate (>0.5 to 1.0 log unit),-6.03600000,-5.27000000,-5.61733333,-5.54600000,0.38795017,0.38300000,0.76600000,5.83445104,-6.03600000,-5.27000000,-5.61733333,-5.54600000,0.38795017,0.38300000,0.76600000,-5.76548954,-5.75147545,-5.75614681,-5.75147545,0.00809104,0.00700705,0.01401410,2,-5.76548954,-5.75147545,-5.75614681,-5.75147545,0.00809104,0.00700705,0.01401410,2,0.20547545,0.49548954,0.32849651,3,3,30 | 32,30 | 32,"Degim, 1998 || Hadgraft, 1987 || Qvist, 2000","Degim, 1998 || Hadgraft, 1987 || Qvist, 2000",3,3,10.1016/S0378-5173(98)00113-6 || 10.1016/0378-5173(87)90210-9 || 10.1016/S0928-0987(00)00091-9,10.1016/S0378-5173(98)00113-6 || 10.1016/0378-5173(87)90210-9 || 10.1016/S0928-0987(00)00091-9,3,3
41,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,4,1,3,25.00000000,Moderate (>0.5 to 1.0 log unit),-8.84000000,-8.07500000,-8.58450000,-8.71150000,0.36062584,0.38400000,0.76500000,5.82103218,-8.07500000,-8.07500000,-8.07500000,-8.07500000,,0.00000000,0.00000000,-7.99586169,-7.94952936,-7.96111244,-7.94952936,0.02316617,0.01158308,0.04633234,2,-7.94952936,-7.94952936,-7.94952936,-7.94952936,,0.00000000,0.00000000,1,0.12547064,0.12547064,0.12547064,4,1,37,37,"Anderson, 1988 || Mitragotri, 1996 || Peck, 1994","Peck, 1994",3,1,10.1023/a:1015989929342 || 10.1023/A:1016096626810 || 10.1023/A:1018998529283,10.1023/A:1018998529283,3,1
42,5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,Fc1c[nH]c(=O)[nH]c1=O,3,1,2,33.33333333,Moderate (>0.5 to 1.0 log unit),-8.01500000,-7.29700000,-7.62866667,-7.57400000,0.36210818,0.35900000,0.71800000,5.22396189,-8.01500000,-8.01500000,-8.01500000,-8.01500000,,0.00000000,0.00000000,-8.27467177,-8.27467177,-8.27467177,-8.27467177,0.00000000,0.00000000,0.00000000,1,-8.27467177,-8.27467177,-8.27467177,-8.27467177,,0.00000000,0.00000000,1,0.25967177,0.25967177,0.25967177,3,1,32 | 31,31,"Hirvonen, 1991 || Williams, 1992 || Rigg, 1990","Rigg, 1990",3,1,10.1023/a:1015824100788 || 10.1016/0378-5173(92)90032-W || 10.1111/1523-1747.ep12874561,10.1111/1523-1747.ep12874561,3,1
43,Acyclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Nc1nc(=O)c2c([nH]1)n(COCCO)cn2,2,1,1,50.00000000,Moderate (>0.5 to 1.0 log unit),-7.77800000,-7.07900000,-7.42850000,-7.42850000,0.49426764,0.34950000,0.69900000,5.00034535,-7.07900000,-7.07900000,-7.07900000,-7.07900000,,0.00000000,0.00000000,-6.88129809,-6.88129809,-6.88129809,-6.88129809,0.00000000,0.00000000,0.00000000,1,-6.88129809,-6.88129809,-6.88129809,-6.88129809,,0.00000000,0.00000000,1,0.19770191,0.19770191,0.19770191,2,1,,,"Volpato, 1998","Volpato, 1998",1,1,10.1016/S0168-3659(97)00152-1,10.1016/S0168-3659(97)00152-1,1,1
44,Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,2,1,1,50.00000000,Moderate (>0.5 to 1.0 log unit),-6.76800000,-6.15100000,-6.45950000,-6.45950000,0.43628488,0.30850000,0.61700000,4.13999675,-6.15100000,-6.15100000,-6.15100000,-6.15100000,,0.00000000,0.00000000,-6.11660970,-6.11446130,-6.11553550,-6.11553550,0.00151915,0.00107420,0.00214840,2,-6.11446130,-6.11446130,-6.11446130,-6.11446130,,0.00000000,0.00000000,1,0.03653870,0.03653870,0.03653870,2,1,32 | 37,37,"Degim, 2003 || Swart, 2005","Swart, 2005",2,1,10.1002/jps.10312 || 10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,2,1
45,Resorcinol,Oc1cccc(O)c1,Oc1cccc(c1)O,2,1,1,50.00000000,Moderate (>0.5 to 1.0 log unit),-7.17600000,-6.62600000,-6.90100000,-6.90100000,0.38890873,0.27500000,0.55000000,3.54813389,-6.62600000,-6.62600000,-6.62600000,-6.62600000,,0.00000000,0.00000000,-6.33751444,-6.33300602,-6.33526023,-6.33526023,0.00318793,0.00225421,0.00450842,2,-6.33300602,-6.33300602,-6.33300602,-6.33300602,,0.00000000,0.00000000,1,0.29299398,0.29299398,0.29299398,2,1,37 | 25,37,"du Plessis, 2002 || Roberts, 1977","du Plessis, 2002",2,1,10.1016/S0928-0987(02)00085-4 || 10.1111/j.2042-7158.1977.tb11434.x,10.1016/S0928-0987(02)00085-4,2,1
46,Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,CN[C@H]([C@@H](c1ccccc1)O)C,4,4,0,100.00000000,Moderate (>0.5 to 1.0 log unit),-6.32600000,-5.77800000,-5.91500000,-5.77800000,0.27400000,0.13700000,0.54800000,3.53183170,-6.32600000,-5.77800000,-5.91500000,-5.77800000,0.27400000,0.13700000,0.54800000,-6.01318852,-6.01318852,-6.01318852,-6.01318852,0.00000000,0.00000000,0.00000000,1,-6.01318852,-6.01318852,-6.01318852,-6.01318852,0.00000000,0.00000000,0.00000000,1,0.23518852,0.31281148,0.25459426,4,4,30,30,"Michaels A. S., 1975","Michaels A. S., 1975",1,1,10.1002/aic.690210522,10.1002/aic.690210522,1,1
47,Propoxur,CNC(=O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1OC(C)C,4,3,1,75.00000000,Moderate (>0.5 to 1.0 log unit),-6.32400000,-5.79700000,-5.97775000,-5.89500000,0.23581967,0.15725000,0.52700000,3.36511569,-5.91200000,-5.79700000,-5.86233333,-5.87800000,0.05907904,0.05750000,0.11500000,-5.52478592,-5.52478592,-5.52478592,-5.52478592,0.00000000,0.00000000,0.00000000,1,-5.52478592,-5.52478592,-5.52478592,-5.52478592,0.00000000,0.00000000,0.00000000,1,0.27221408,0.38721408,0.33754741,3,3,32,32,"Wilkinson, 2006","Wilkinson, 2006",1,1,10.1007/s00420-005-0056-5,10.1007/s00420-005-0056-5,1,1
48,Benzoic acid,O=C(O)c1ccccc1,OC(=O)c1ccccc1,2,2,0,100.00000000,Moderate (>0.5 to 1.0 log unit),-5.67500000,-5.15600000,-5.41550000,-5.41550000,0.36698842,0.25950000,0.51900000,3.30369541,-5.67500000,-5.15600000,-5.41550000,-5.41550000,0.36698842,0.25950000,0.51900000,-5.40451798,-5.40451798,-5.40451798,-5.40451798,0.00000000,0.00000000,0.00000000,1,-5.40451798,-5.40451798,-5.40451798,-5.40451798,0.00000000,0.00000000,0.00000000,1,0.24851798,0.27048202,0.25950000,2,2,,,"Buist, 2010 || Degim, 1998","Buist, 2010 || Degim, 1998",2,2,10.1016/j.yrtph.2010.02.008 || 10.1016/S0378-5173(98)00113-6,10.1016/j.yrtph.2010.02.008 || 10.1016/S0378-5173(98)00113-6,2,2
49,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(Cc1ccc(cc1)C(C(=O)O)C)C,2,2,0,100.00000000,Moderate (>0.5 to 1.0 log unit),-5.50300000,-4.99600000,-5.24950000,-5.24950000,0.35850314,0.25350000,0.50700000,3.21366054,-5.50300000,-4.99600000,-5.24950000,-5.24950000,0.35850314,0.25350000,0.50700000,-5.53980265,-5.53896960,-5.53938613,-5.53938613,0.00058905,0.00041652,0.00083304,2,-5.53980265,-5.53896960,-5.53938613,-5.53938613,0.00058905,0.00041652,0.00083304,2,0.03680265,0.54296960,0.28988613,2,2,37,37,"Degim, 1998 || Swart, 2005","Degim, 1998 || Swart, 2005",2,2,10.1016/S0378-5173(98)00113-6 || 10.1016/j.ijpharm.2005.05.030,10.1016/S0378-5173(98)00113-6 || 10.1016/j.ijpharm.2005.05.030,2,2
50,Lysine,NCCCC[C@H](N)C(=O)O,NCCCC[C@@H](C(=O)O)N,2,2,0,100.00000000,Low (≤0.5 log unit),-7.32800000,-6.86000000,-7.09400000,-7.09400000,0.33092597,0.23400000,0.46800000,2.93764965,-7.32800000,-6.86000000,-7.09400000,-7.09400000,0.33092597,0.23400000,0.46800000,-7.15895321,-7.15895321,-7.15895321,-7.15895321,0.00000000,0.00000000,0.00000000,1,-7.15895321,-7.15895321,-7.15895321,-7.15895321,0.00000000,0.00000000,0.00000000,1,0.16904679,0.29895321,0.23400000,2,2,,,"Sznitowska, 1993","Sznitowska, 1993",1,1,10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,1
