Source_Data_Row,Compound name,Smiles,Canonical_SMILES,logkp (cm/s),Predicted_logKp_LGBM,Prediction_Error_LGBM,Absolute_Error_LGBM,Within_Tolerance_LGBM,skin source type,skin source site,used layer,skin preparation,storage temperature (°C),storage duration (days),neat,donor/skin surface temperature (°C),donor pH,donor type,acceptor temperature (°C),acceptor pH,acceptor type,cell type,reference,DOI,DOI_URL,LogP,molecular weight,Condition_Signature
284,1-Hexanol,CCCCCCO,CCCCCCO,-7.84000000,-5.27018096,2.56981904,2.56981904,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,1.55900000,102.10446507,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
285,Methanol,CO,CO,-5.53900000,-6.67327972,-1.13427972,1.13427972,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,-0.39150000,32.02621475,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
286,Methanol,CO,CO,-6.85700000,-6.67327972,0.18372028,0.18372028,True,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,-0.39150000,32.02621475,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
287,1-Nonanol,CCCCCCCCCO,CCCCCCCCCO,-4.77800000,-4.82738482,-0.04938482,0.04938482,True,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,2.72930000,144.15141526,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
288,1-Nonanol,CCCCCCCCCO,CCCCCCCCCO,-9.07900000,-4.82738482,4.25161518,4.25161518,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,2.72930000,144.15141526,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
289,1-Octanol,CCCCCCCCO,CCCCCCCCO,-4.84000000,-4.73831328,0.10168672,0.10168672,True,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,2.33920000,130.13576520,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
290,1-Octanol,CCCCCCCCO,CCCCCCCCO,-8.55600000,-4.73831328,3.81768672,3.81768672,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,2.33920000,130.13576520,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
291,1-Pentanol,CCCCCO,CCCCCO,-5.77800000,-5.75408847,0.02391153,0.02391153,True,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,1.16890000,88.08881500,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
292,1-Pentanol,CCCCCO,CCCCCO,-7.84900000,-5.75408847,2.09491153,2.09491153,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,1.16890000,88.08881500,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
293,1-Propanol,CCCO,CCCO,-6.47700000,-6.40916063,0.06783937,0.06783937,True,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,0.38870000,60.05751488,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
