Source_Data_Row,Compound name,Smiles,Canonical_SMILES,logkp (cm/s),Predicted_logKp_LGBM,Prediction_Error_LGBM,Absolute_Error_LGBM,Within_Tolerance_LGBM,skin source type,skin source site,used layer,skin preparation,storage temperature (°C),storage duration (days),neat,donor/skin surface temperature (°C),donor pH,donor type,acceptor temperature (°C),acceptor pH,acceptor type,cell type,reference,DOI,DOI_URL,LogP,molecular weight,Condition_Signature
1,Butyl 4-hydroxybenzoat,CCCCOC(=O)c1ccc(cc1)O,CCCCOC(=O)c1ccc(O)cc1,-4.53800000,-4.64075240,-0.10275240,0.10275240,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,2.34910000,194.09429431,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
2,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-7.05300000,-6.92365842,0.12934158,0.12934158,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,-1.02930000,194.08037556,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
3,Methyl 4-hydroxybenzoate,COC(=O)c1ccc(cc1)O,COC(=O)c1ccc(O)cc1,-5.23000000,-5.46314962,-0.23314962,0.23314962,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,1.17880000,152.04734412,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
4,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-6.32600000,-6.49437877,-0.16837877,0.16837877,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.93760000,494.21160980,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
5,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-6.32600000,-6.49437877,-0.16837877,0.16837877,True,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.93760000,494.21160980,"skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=epidermis, dermis; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell"
6,Hydrocortisone 21-Hemisuccinate,OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,-6.75700000,-6.81021015,-0.05321015,0.05321015,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.19730000,462.22536805,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
7,Hydrocortisone 21-Hemipimelate,OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,-6.30100000,-6.50477122,-0.20377122,0.20377122,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,3.36760000,504.27231824,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
9,Hydrocortisone 21-(6-hydroxyhexanoate),OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCO,-6.59700000,-6.71935638,-0.12235638,0.12235638,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.88520000,476.27740362,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
10,Hydrocortisone 21-methylpimelate,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-5.82400000,-6.08230331,-0.25830331,0.25830331,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,3.45600000,518.28796830,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
14,Hydrocortisone 21-pimelamate,NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(N)=O,-6.60700000,-6.56401622,0.04298378,0.04298378,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.76830000,503.28830265,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
15,Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-6.03800000,-6.20079084,-0.16279084,0.16279084,True,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.74250000,418.23553881,"skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=epidermis, dermis; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell"
16,Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-6.02500000,-6.20079084,-0.17579084,0.17579084,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.74250000,418.23553881,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
18,Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-8.58300000,-7.94952936,0.63347064,0.63347064,False,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,-5.39560000,342.11621152,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
19,Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-8.84000000,-7.94952936,0.89047064,0.89047064,False,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,-5.39560000,342.11621152,"skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=epidermis, dermis; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell"
20,4-Hydroxybenzyl alcohol,OCc1ccc(cc1)O,OCc1ccc(O)cc1,-6.25500000,-6.22689133,0.02810867,0.02810867,True,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,0.88450000,124.05242950,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
21,4-Hydroxyphenylacetamide,NC(=O)Cc1ccc(cc1)O,NC(=O)Cc1ccc(O)cc1,-6.90300000,-6.94833267,-0.04533267,0.04533267,True,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,0.42000000,151.06332853,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
22,4-Hydroxyphenylacetic acid,OC(=O)Cc1ccc(cc1)O,O=C(O)Cc1ccc(O)cc1,-6.15800000,-5.72637179,0.43162821,0.43162821,True,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,1.01930000,152.04734412,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
23,Methyl 4-hydroxyphenylacetate,COC(=O)Cc1ccc(cc1)O,COC(=O)Cc1ccc(O)cc1,-5.25500000,-5.22950239,0.02549761,0.02549761,True,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,1.10770000,166.06299418,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
24,p-Cresol,Cc1ccc(cc1)O,Cc1ccc(O)cc1,-4.47700000,-5.33321983,-0.85621983,0.85621983,False,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,1.70062000,108.05751488,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
25,Toluene,Cc1ccccc1,Cc1ccccc1,-3.63700000,-4.04908362,-0.41208362,0.41208362,True,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,https://doi.org/10.1111/1523-1747.ep12277592,1.99502000,92.06260026,skin source type=Abdominoplasty; skin source site=abdomen; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=unknown; cell type=Flow through cell
26,Water,O,O,-6.43800000,-6.12423617,0.31376383,0.31376383,True,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,1,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,https://doi.org/10.1002/jps.2600650210,-0.82470000,18.01056468,"skin source type=Amputated limb; skin source site=thigh, leg; used layer=epidermis, dermis; skin preparation=dermatomed 380um; storage temperature (°C)=-20; storage duration (days)=1; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=7; donor type=PBS; acceptor temperature (°C)=unknown; acceptor pH=7; acceptor type=PBS; cell type=Glass diffusion cell"
27,Water,O,O,-6.60600000,-6.12423617,0.48176383,0.48176383,True,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,30,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,https://doi.org/10.1002/jps.2600650210,-0.82470000,18.01056468,"skin source type=Amputated limb; skin source site=thigh, leg; used layer=epidermis, dermis; skin preparation=dermatomed 380um; storage temperature (°C)=-20; storage duration (days)=30; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=7; donor type=PBS; acceptor temperature (°C)=unknown; acceptor pH=7; acceptor type=PBS; cell type=Glass diffusion cell"
28,Water,O,O,-6.32300000,-6.12423617,0.19876383,0.19876383,True,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,90,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,https://doi.org/10.1002/jps.2600650210,-0.82470000,18.01056468,"skin source type=Amputated limb; skin source site=thigh, leg; used layer=epidermis, dermis; skin preparation=dermatomed 380um; storage temperature (°C)=-20; storage duration (days)=90; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=7; donor type=PBS; acceptor temperature (°C)=unknown; acceptor pH=7; acceptor type=PBS; cell type=Glass diffusion cell"
29,Water,O,O,-6.50200000,-6.12423617,0.37776383,0.37776383,True,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,180,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,https://doi.org/10.1002/jps.2600650210,-0.82470000,18.01056468,"skin source type=Amputated limb; skin source site=thigh, leg; used layer=epidermis, dermis; skin preparation=dermatomed 380um; storage temperature (°C)=-20; storage duration (days)=180; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=7; donor type=PBS; acceptor temperature (°C)=unknown; acceptor pH=7; acceptor type=PBS; cell type=Glass diffusion cell"
30,2-Ethoxyethyl acetate,CCOCCOC(=O)C,CCOCCOC(C)=O,-2.83900000,-6.15248501,-3.31348501,3.31348501,False,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,37,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,0.58600000,132.07864424,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=1; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=37; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
31,2-Ethylhexanol,CCCCC(CO)CC,CCCCC(CC)CO,-4.34300000,-4.93673172,-0.59373172,0.59373172,True,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,2.19510000,130.13576520,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=1; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=30; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
32,2-Propoxyethanol,CCCOCCO,CCCOCCO,-3.19200000,-6.46161253,-3.26961253,3.26961253,False,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,0.40530000,104.08372962,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=1; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=30; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
33,Bis(2-ethylhexyl)phthalate,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.97900000,-7.37165980,-0.39265980,0.39265980,True,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,6.43300000,390.27700970,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=1; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=30; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
36,Urea,NC(=O)N,NC(N)=O,-3.83000000,-7.32235150,-3.49235150,3.49235150,False,Cadaver,unknown,stratum corneum,heat separation,4,2,0,unknown,unknown,unknown,37,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,-0.97620000,60.03236275,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=37; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
37,Water,O,O,-2.80700000,-6.12423617,-3.31723617,3.31723617,False,Cadaver,unknown,stratum corneum,heat separation,4,2,0,unknown,unknown,unknown,unknown,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,https://doi.org/10.1016/0272-0590(92)90086-W,-0.82470000,18.01056468,skin source type=Cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=2; neat=0; donor/skin surface temperature (°C)=unknown; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=7.1; acceptor type=Dulbecco PBS; cell type=Franz cell
38,Ethanol,CCO,CCO,-7.07900000,-6.54635716,0.53264284,0.53264284,True,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,https://doi.org/10.1038/jid.1964.174,-0.00140000,46.04186481,"skin source type=Cadaver; skin source site=abdomen; used layer=epidermis, dermis; skin preparation=fat removed; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=22; donor pH=unknown; donor type=NaCl solution; acceptor temperature (°C)=22; acceptor pH=unknown; acceptor type=NaCl solution; cell type=unknown"
39,1-Octanol,CCCCCCCCO,CCCCCCCCO,-4.84000000,-4.73831328,0.10168672,0.10168672,True,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,https://doi.org/10.1038/jid.1964.174,2.33920000,130.13576520,"skin source type=Cadaver; skin source site=abdomen; used layer=epidermis, dermis; skin preparation=fat removed; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=22; donor pH=unknown; donor type=NaCl solution; acceptor temperature (°C)=22; acceptor pH=unknown; acceptor type=NaCl solution; cell type=unknown"
40,1-Pentanol,CCCCCO,CCCCCO,-5.77800000,-5.75408847,0.02391153,0.02391153,True,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,https://doi.org/10.1038/jid.1964.174,1.16890000,88.08881500,"skin source type=Cadaver; skin source site=abdomen; used layer=epidermis, dermis; skin preparation=fat removed; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=22; donor pH=unknown; donor type=NaCl solution; acceptor temperature (°C)=22; acceptor pH=unknown; acceptor type=NaCl solution; cell type=unknown"
41,1-Propanol,CCCO,CCCO,-6.55600000,-6.40916063,0.14683937,0.14683937,True,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,https://doi.org/10.1038/jid.1964.174,0.38870000,60.05751488,"skin source type=Cadaver; skin source site=abdomen; used layer=epidermis, dermis; skin preparation=fat removed; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=22; donor pH=unknown; donor type=NaCl solution; acceptor temperature (°C)=22; acceptor pH=unknown; acceptor type=NaCl solution; cell type=unknown"
