epoch,loss,mae,val_loss,val_mae
0,3.197998285293579,3.197998285293579,2.3983051776885986,2.3983051776885986
1,2.7623841762542725,2.7623841762542725,2.3804445266723633,2.3804445266723633
2,2.781249761581421,2.781249761581421,2.351763963699341,2.351763963699341
3,2.599609136581421,2.599609136581421,2.2870278358459473,2.2870278358459473
4,2.6416094303131104,2.6416094303131104,2.245941162109375,2.245941162109375
5,2.542290210723877,2.542290210723877,2.202094078063965,2.202094078063965
6,2.499253034591675,2.499253034591675,2.150111198425293,2.150111198425293
7,2.349961042404175,2.349961042404175,2.0935990810394287,2.0935990810394287
8,2.2396180629730225,2.2396180629730225,2.028639316558838,2.028639316558838
9,2.2449867725372314,2.2449867725372314,1.9756667613983154,1.9756667613983154
10,2.1632885932922363,2.1632885932922363,1.9105416536331177,1.9105416536331177
11,2.1964592933654785,2.1964592933654785,1.843672752380371,1.843672752380371
12,2.0218517780303955,2.0218517780303955,1.7678571939468384,1.7678571939468384
13,1.9779237508773804,1.9779237508773804,1.708254098892212,1.708254098892212
14,1.963005781173706,1.963005781173706,1.6484712362289429,1.6484712362289429
15,1.9378660917282104,1.9378660917282104,1.6038728952407837,1.6038728952407837
16,1.9228068590164185,1.9228068590164185,1.5755414962768555,1.5755414962768555
17,1.8848977088928223,1.8848977088928223,1.544979214668274,1.544979214668274
18,1.8361066579818726,1.8361066579818726,1.4641709327697754,1.4641709327697754
19,1.766097903251648,1.766097903251648,1.3898872137069702,1.3898872137069702
20,1.8064393997192383,1.8064393997192383,1.355879545211792,1.355879545211792
21,1.6958184242248535,1.6958184242248535,1.3338643312454224,1.3338643312454224
22,1.6408699750900269,1.6408699750900269,1.2567802667617798,1.2567802667617798
23,1.6474976539611816,1.6474976539611816,1.2371137142181396,1.2371137142181396
24,1.6580238342285156,1.6580238342285156,1.205100655555725,1.205100655555725
25,1.6219191551208496,1.6219191551208496,1.1723049879074097,1.1723049879074097
26,1.5734198093414307,1.5734198093414307,1.1517044305801392,1.1517044305801392
27,1.5604912042617798,1.5604912042617798,1.1118842363357544,1.1118842363357544
28,1.5584269762039185,1.5584269762039185,1.0476584434509277,1.0476584434509277
29,1.4906013011932373,1.4906013011932373,1.0023502111434937,1.0023502111434937
30,1.5734341144561768,1.5734341144561768,0.9657711386680603,0.9657711386680603
31,1.381691336631775,1.381691336631775,0.9375659823417664,0.9375659823417664
32,1.4428569078445435,1.4428569078445435,0.905937910079956,0.905937910079956
33,1.4743740558624268,1.4743740558624268,0.8855865597724915,0.8855865597724915
34,1.4452015161514282,1.4452015161514282,0.8675716519355774,0.8675716519355774
35,1.4491565227508545,1.4491565227508545,0.8487151861190796,0.8487151861190796
36,1.3451136350631714,1.3451136350631714,0.8154157400131226,0.8154157400131226
