loss,mae,val_loss,val_mae
3.197998285293579,3.197998285293579,2.3983051776885986,2.3983051776885986
2.7623841762542725,2.7623841762542725,2.3804445266723633,2.3804445266723633
2.781249761581421,2.781249761581421,2.351763963699341,2.351763963699341
2.599609136581421,2.599609136581421,2.2870278358459473,2.2870278358459473
2.6416094303131104,2.6416094303131104,2.245941162109375,2.245941162109375
2.542290210723877,2.542290210723877,2.202094078063965,2.202094078063965
2.499253034591675,2.499253034591675,2.150111198425293,2.150111198425293
2.349961042404175,2.349961042404175,2.0935990810394287,2.0935990810394287
2.2396180629730225,2.2396180629730225,2.028639316558838,2.028639316558838
2.2449867725372314,2.2449867725372314,1.9756667613983154,1.9756667613983154
2.1632885932922363,2.1632885932922363,1.9105416536331177,1.9105416536331177
2.1964592933654785,2.1964592933654785,1.843672752380371,1.843672752380371
2.0218517780303955,2.0218517780303955,1.7678571939468384,1.7678571939468384
1.9779237508773804,1.9779237508773804,1.708254098892212,1.708254098892212
1.963005781173706,1.963005781173706,1.6484712362289429,1.6484712362289429
1.9378660917282104,1.9378660917282104,1.6038728952407837,1.6038728952407837
1.9228068590164185,1.9228068590164185,1.5755414962768555,1.5755414962768555
1.8848977088928223,1.8848977088928223,1.544979214668274,1.544979214668274
1.8361066579818726,1.8361066579818726,1.4641709327697754,1.4641709327697754
1.766097903251648,1.766097903251648,1.3898872137069702,1.3898872137069702
1.8064393997192383,1.8064393997192383,1.355879545211792,1.355879545211792
1.6958184242248535,1.6958184242248535,1.3338643312454224,1.3338643312454224
1.6408699750900269,1.6408699750900269,1.2567802667617798,1.2567802667617798
1.6474976539611816,1.6474976539611816,1.2371137142181396,1.2371137142181396
1.6580238342285156,1.6580238342285156,1.205100655555725,1.205100655555725
1.6219191551208496,1.6219191551208496,1.1723049879074097,1.1723049879074097
1.5734198093414307,1.5734198093414307,1.1517044305801392,1.1517044305801392
1.5604912042617798,1.5604912042617798,1.1118842363357544,1.1118842363357544
1.5584269762039185,1.5584269762039185,1.0476584434509277,1.0476584434509277
1.4906013011932373,1.4906013011932373,1.0023502111434937,1.0023502111434937
1.5734341144561768,1.5734341144561768,0.9657711386680603,0.9657711386680603
1.381691336631775,1.381691336631775,0.9375659823417664,0.9375659823417664
1.4428569078445435,1.4428569078445435,0.905937910079956,0.905937910079956
1.4743740558624268,1.4743740558624268,0.8855865597724915,0.8855865597724915
1.4452015161514282,1.4452015161514282,0.8675716519355774,0.8675716519355774
1.4491565227508545,1.4491565227508545,0.8487151861190796,0.8487151861190796
1.3451136350631714,1.3451136350631714,0.8154157400131226,0.8154157400131226
1.3935625553131104,1.3935625553131104,0.7903148531913757,0.7903148531913757
1.4131933450698853,1.4131933450698853,0.7806746363639832,0.7806746363639832
1.33351731300354,1.33351731300354,0.7399709224700928,0.7399709224700928
1.1875989437103271,1.1875989437103271,0.7409170269966125,0.7409170269966125
1.287107229232788,1.287107229232788,0.7321162819862366,0.7321162819862366
1.2714325189590454,1.2714325189590454,0.740170419216156,0.740170419216156
1.276831030845642,1.276831030845642,0.7020837068557739,0.7020837068557739
1.2804744243621826,1.2804744243621826,0.6759583353996277,0.6759583353996277
1.24785578250885,1.24785578250885,0.6486378312110901,0.6486378312110901
1.3351460695266724,1.3351460695266724,0.6423599123954773,0.6423599123954773
1.2571496963500977,1.2571496963500977,0.6271497011184692,0.6271497011184692
1.2177797555923462,1.2177797555923462,0.6244903802871704,0.6244903802871704
1.1865030527114868,1.1865030527114868,0.6181409358978271,0.6181409358978271
1.2130628824234009,1.2130628824234009,0.6283984184265137,0.6283984184265137
1.3259719610214233,1.3259719610214233,0.6522368788719177,0.6522368788719177
1.1529580354690552,1.1529580354690552,0.6391249299049377,0.6391249299049377
1.2361215353012085,1.2361215353012085,0.6208092570304871,0.6208091974258423
1.1515666246414185,1.1515666246414185,0.59910649061203,0.59910649061203
1.1883693933486938,1.1883693933486938,0.5982244610786438,0.5982244610786438
1.1642205715179443,1.1642205715179443,0.598325788974762,0.598325788974762
