Compound,SMILES,Experimental_logKp
Diethylene glycol monobutyl ether,CCCCOCCOCCO,-2.24
Aldosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,-4.75
Beta-Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.39
m-Cresol,CC1=CC(=CC=C1)O,-1.81
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.21
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-3.81
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.93
resorcinol,C1=CC(=CC(=C1)O)O,-3.07
Benzylideneacetone,CC(=O)C=CC1=CC=CC=C1,-1.41
acetic acid,CC(=O)O,-3.05
Heptanol,CCCCCCCO,-1.42
Acetophenone,CC(=O)C1=CC=CC=C1,-1.63
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.75
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.6
Estriol,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,-4.4
Resorcinol,C1=CC(=CC(=C1)O)O,-2.36
"3-Methyl-3H-imidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.43
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.2
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.91
