Compound,SMILES,Experimental_logKp
1-(diphenylmethyl)-4-butylpiperazine,CCCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.3
n-heptanol,CCCCCCCO,-1.49
decanol,CCCCCCCCCCO,-1.88
Hexanol,CCCCCCO,-1.49
Chlorocresol,CC1=C(C=CC(=C1)O)Cl,-1.26
1-(diphenylmethyl)-4-ethylpiperazine,CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-1.36
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.33
salicylate,C1=CC=C(C(=C1)C(=O)O)[O-],-4.22
17-alfa-Hydroxyprogesterone,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,-3.22
Cyclophosphamide monohydrate,C1CNP(=O)(OC1)N(CCCl)CCCl.O,-2.54
beta-Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.28
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.46
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.91
p-Tolunitrile,CC1=CC=C(C=C1)C#N,-1.51
Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,-2.67
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-1.7
Phenol,C1=CC=C(C=C1)O,-1.71
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.38
Phenol,C1=CC=C(C=C1)O,-3.83
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.96
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.43
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.68
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.82
Urea,C(=O)(N)N,-3.55
Benzyl bromide,C1=CC=C(C=C1)CBr,-1.55
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.05
Eugenol,COC1=C(C=CC(=C1)CC=C)O,-1.59
butoxyethanol,CCCCOCCO,-2.28
"Resorcinol; 1,3-Benzenediol",C1=CC(=CC(=C1)O)O,-3.62
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-2.61
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.33
Timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,-3.57
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.64
Tetraethylammonium bromide (+),CC[N+](CC)(CC)CC.[Br-],-3.37
Triamcinolone acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,-4.71
p-Tolunitrile,CC1=CC=C(C=C1)C#N,-1.34
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.96
Methyl 4-hydroxyphenylacetate,COC(=O)CC1=CC=C(C=C1)O,-1.7
acetic acid,CC(=O)O,-3.1
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-4.0
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.85
Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,-3.52
Methylglucose,COC(C(C=O)O)C(C(CO)O)O,-3.68
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.86
propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.62
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.79
"Nicotinate, methyl",COC(=O)C1=CN=CC=C1,-3.28
Octanol,CCCCCCCCO,-1.21
Butanol,CCCCO,-2.6
ethacrynic acid,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,-3.82
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.13
o-t-butylphenol,CC(C)(C)C1=CC=CC=C1O,-1.13
n-hexanol,CCCCCCO,-1.89
trans-Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,-1.38
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.42
