Experimental_logKp
-4.3
-1.9
-1.79
-2.7
-1.18
-3.27
-3.97
-4.29
-5.4
-3.98
-1.55
-1.75
-2.51
-1.56
-1.15
-1.71
-2.39
-1.22
-1.84
-0.8
-4.15
-3.35
-1.78
-3.4
-5.0
-2.36
-4.62
-1.28
-1.82
-1.15
-1.11
-4.61
-2.79
-3.3
-2.51
-3.03
-2.43
-2.72
-3.13
-2.6
-4.72
-4.1
-1.15
-3.4
-2.07
-1.48
-5.09
-1.11
-2.11
-1.83
-2.03
-1.51
-2.36
-3.3
-1.42
-1.1
-2.01
-1.71
-2.57
-5.52
-1.44
-0.92
-3.52
-4.27
-3.7
-1.28
-2.42
-2.25
-2.8
-1.35
-1.44
-3.35
-3.09
-2.91
-1.02
-1.55
-4.82
-1.22
-1.91
-2.3
-1.49
-1.88
-1.49
-1.26
-1.36
-2.33
-4.22
-3.22
-2.54
-2.28
-4.46
-1.91
-1.51
-2.67
-1.7
-1.71
-4.38
-3.83
-4.96
-2.43
-4.68
-1.82
-3.55
-1.55
-2.05
-1.59
-2.28
-3.62
-2.61
-4.33
-3.57
-2.64
-3.37
-4.71
-1.34
-1.96
-1.7
-3.1
-4.0
-4.85
-3.52
-3.68
-1.86
-1.62
-1.79
-3.28
-1.21
-2.6
-3.82
-2.13
-1.13
-1.89
-1.38
-4.42
-4.33
-2.22
-1.21
-1.23
-2.82
-3.66
-4.02
-4.57
-2.49
-4.18
-1.95
-5.13
-3.07
-2.09
-1.71
-1.58
-2.12
-2.92
-1.25
-3.62
-4.59
-2.27
-5.03
-4.19
-2.49
-2.12
-1.56
-2.52
-1.44
-2.38
-4.3
-4.47
-1.61
-2.81
-1.15
-4.47
-2.01
-5.38
-2.66
-2.88
-2.06
-4.64
-2.88
-2.43
-4.36
-3.6
-1.67
-4.32
-1.12
-4.54
-1.22
-2.27
-2.52
-2.27
-2.44
-2.21
-2.07
-1.55
-1.89
-4.79
-1.09
-2.1
-2.06
-5.03
-3.23
-4.68
-1.89
-4.72
-1.8
-1.89
-2.82
-1.52
-2.9
-1.59
-2.36
-2.36
-3.16
-2.74
-1.5
-2.03
-1.82
-1.46
-1.75
-1.25
-2.03
-2.08
-1.2
-1.96
-1.44
-2.92
-2.51
-1.23
-2.68
-4.22
-0.92
-2.22
-1.54
-1.88
-3.22
-2.47
-1.24
-1.48
-3.64
-1.16
-4.1
-2.94
-4.0
-2.22
-4.6
-2.45
-1.14
-1.81
-2.37
-1.58
-1.98
-1.05
-4.68
-3.1
-3.01
-1.27
-1.86
-2.59
-3.35
-2.8
-3.31
-3.54
-1.2
-3.83
-4.67
-2.54
-4.01
-3.52
-1.1
-0.08
-3.99
-1.67
-1.95
-3.82
-2.25
-1.68
-2.03
-1.9
-2.39
-2.85
-0.98
-2.63
-2.03
-1.52
-1.75
-1.45
-2.52
-4.17
-4.7
-1.01
-2.02
-2.6
-1.8
-1.89
-4.03
-2.38
-2.82
-4.8
-3.2
-2.32
-3.15
-4.19
-1.26
-1.49
-2.11
-4.36
-0.74
-4.89
-1.99
-3.95
-0.78
-4.95
-1.96
-2.77
-0.95
-1.59
-3.44
-2.97
-2.22
-1.92
-1.9
-3.69
-2.95
-5.28
-1.8
-1.75
-4.0
-2.4
-2.42
-2.08
-2.16
-1.7
-3.9
-4.6
-3.1
-4.52
-3.7
-2.24
-4.75
-2.39
-1.81
-2.21
-3.81
-2.93
-3.07
-1.41
-3.05
-1.42
-1.63
-2.75
-1.6
-4.4
-2.36
-2.43
-2.2
-4.91
